id,answer
CORP-TAX-001,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988; KStG 1988 §24 Abs2; EStG 1988 §4 Abs7 idF 1996/201; KStG 1988 §24 Abs1; EStG 1988 §6.
CORP-TAX-002,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: BWG 1993 §23 Abs6; BWG 1993 §1 Abs1; GewStG §4 Abs1; InvFG 1993 §1; KStG 1966 §8.
CORP-TAX-003,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1972 §4; EStG 1972 §4 Abs3; EStG 1972 §4 Abs4; EStG 1972 §4 Abs1; EStG 1972 §20.
CORP-TAX-004,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §24 Abs5 Z5; KStG 1988 §24 Abs3 Z1; KStG 1988 §24 Abs2; KStG 1988 §24 Abs4 Z4; KStG 1988 §24 Abs1.
CORP-TAX-005,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art4; InvFG 1963 §1; InvFG 1993; UmgrStG 1991 Art4; UmgrStG 1991.
CORP-TAX-006,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG Preußen 1891 §8; DurchschnittssatzV Gewinnermittlung 2005/II/258; BudgetbegleitG 2001; DurchschnittssatzV Gewinnermittlung 2005/II/258 §8; EStG 1988 Forschungsfreibeträge 2002.
CORP-TAX-007,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: VereinsG 1951; EnFG 1979; GrEStG 1987; BewG 1955 §1 Abs1; BewG 1955 §1 Abs2.
CORP-TAX-008,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: BWG 1993 §23 Abs6; BWG 1993 §1 Abs1; UmgrStG 1991 §23; GewStG §4 Abs1; KStG 1966 §8.
CORP-TAX-009,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: DBAbk USA 1998 Art17; DBAbk BRD 1955; DBAbk Argentinien 1983 Art11; DBAbk BRD 1955 Art16; DBAbk Brasilien 1976 Art11.
CORP-TAX-010,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 31969L0335 Kapital Ansammlungs-RL indirekte Steuern Art4; 31969L0335 Kapital Ansammlungs-RL indirekte Steuern; 32008L0007 Kapital Ansammlungs-RL indirekte Steuern Art5 Abs1 lita; 32008L0007 Kapital Ansammlungs-RL indirekte Steuern Art5 Abs1 litc; 32011L0096 Mutter/Tochter-RL Art2.
CORP-TAX-011,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: BudgetbegleitG 2001; BudgetbegleitG 01te 1997; BudgetbegleitG 2003; EStG 1988 §25 Abs1; EStG 1988 §25.
CORP-TAX-012,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §24 Abs5 Z5; KStG 1988 §24 Abs2; KStG 1988 §24 Abs3 Z1; KStG 1988 §24 Abs4 Z4; KStG 1988 §24 Abs1.
CORP-TAX-013,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KStG 1988 §10 Abs3 idF 1994/681; KStG 1988 §10 Z5 idF 1989/660; KStG 1988 §10 Abs2 Z2 lita idF 1993/694; KStG 1988 §10 Abs2 idF 1996/797; KStG 1988 §10 Abs2 Z1 idF 1993/694.
CORP-TAX-014,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 61975CJ0008 Foot-Ball Club d'Andlau VORAB; SportG Slbg 1988 §4 Abs1; SportG Slbg 1988 §4 Abs3; SportG Slbg 1988 §4 Abs2; 21993A1231(18) AssAbk Polen Art44 Abs4 litc.
CORP-TAX-015,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: 61995CJ0250 Futura Participations VORAB; 62004CJ0374 Test Claimants in Class IV of the ACT Group Litigation VORAB; 61998CJ0397 Metallgesellschaft VORAB; 62000CJ0071 Develop VORAB; 61999CJ0339 Energie Steiermark Holding VORAB.
CORP-TAX-016,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: EStG 1988 Forschungsfreibeträge 2002; SteuerreformG 2005; EStG 1988 Forschungsfreibeträge 2002 §1 Abs1; EStG 1988 Forschungsfreibeträge 2002 §1 Abs4; EStG 1988 Forschungsfreibeträge 2002 §1 Abs2 Z4.
CORP-TAX-017,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: UmgrStG 1991 §12 Abs2; KStG 1988 §12; UmgrStG 1991 §12 Abs1; KStG 1988 §11; UmgrStG 1991 §12 Abs2 Z1.
CORP-TAX-018,Nach sorgfältiger Prüfung Ihres Falles verweise ich auf die folgenden Paragraphen: KAKuG 2001 §3; LZVG 1957 §2 Abs1 Z2; KAKuG 2001 §2 Abs3; LeichenbestattungsG Vlbg §48; SHG NÖ 2000 §38 Abs4.
