id,instruction,input,output
JWR_2000160563_20001221X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Im Firmenbuch des HG Wien war zur FN 29310d die Dr. Werner Siblik GmbH & Co KEG eingetragen; ihr einziger Komplementär war zuletzt die Siblik Elektric GmbH, einziger Kommanditist die Beschwerdeführerin. Mit Eingabe vom 11. März 1999 wurde dem Firmenbuchgericht mitgeteilt, dass zufolge Ausscheidens des Komplementärs ""der Betrieb"" der bisherigen KEG gemäß § 142 HGB von der Beschwerdeführerin übernommen wurde. Mit Eingabe vom 11. März 1999 wurde dem Firmenbuchgericht mitgeteilt, dass zufolge Ausscheidens des Komplementärs ""der Betrieb"" der bisherigen KEG gemäß Paragraph 142, HGB von der Beschwerdeführerin übernommen wurde. Betreffend die Liegenschaft EZ. 1635, GB 01104 Oberlaa Land, BG Favoriten, war zum Abrufdatum 19. Mai 1999 noch die Firma der KEG im Eigentumsblatt eingetragen. Mit Abgabenerklärung vom 13. April 1999 wurde dem Finanzamt für Gebühren und Verkehrsteuern in Wien (im Folgenden kurz: Finanzamt) der Erwerb dieser Liegenschaft durch die Beschwerdeführerin auf Grund der Übernahme gemäß § 142 HGB angezeigt, wozu ergänzend im Wege einer Eingabe vom 18. Mai 1999 vorgebracht wurde, die ausgeschiedene Komplementärin hätte keinen Kapitalanteil an der KEG gehabt. Auf Grund des ""100 % Kapitalanteils"" der Beschwerdeführerin als Kommanditistin und Übernehmerin habe die Grunderwerbsteuer zu entfallen. Mit Abgabenerklärung vom 13. April 1999 wurde dem Finanzamt für Gebühren und Verkehrsteuern in Wien (im Folgenden kurz: Finanzamt) der Erwerb dieser Liegenschaft durch die Beschwerdeführerin auf Grund der Übernahme gemäß Paragraph 142, HGB angezeigt, wozu ergänzend im Wege einer Eingabe vom 18. Mai 1999 vorgebracht wurde, die ausgeschiedene Komplementärin hätte keinen Kapitalanteil an der KEG gehabt. Auf Grund des ""100 % Kapitalanteils"" der Beschwerdeführerin als Kommanditistin und Übernehmerin habe die Grunderwerbsteuer zu entfallen. Das Finanzamt forderte dagegen mit Bescheid vom 24. Juni 1999 Grunderwerbsteuer an, wogegen die Beschwerdeführerin mit dem Argument berie",; EGG §4 Abs1; EVHGB 04te Art7 Nr10; EVHGB 04te Art7 Nr9; GrEStG 1987 §1 Abs1 Z2; HGB §124; HGB §142; HGB §161
JWR_2012160159_20130829X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Beiden Beschwerdefällen liegt der unstrittige Sachverhalt, der sich auch aus dem vorgelegten Verwaltungsakt ergibt, zugrunde, wonach ursprünglich den erst- und zweitbeschwerdeführenden Parteien gehörige Liegenschaften samt Gebäude im Wege einer Hausverlosung ins Eigentum der Drittbeschwerdeführerin übertragen wurden. Gegenstand der Hausverlosung waren zwei Grundstücke des Erstbeschwerdeführers mit insgesamt 1.862 m2 und ein Grundstück der Zweitbeschwerdeführerin mit 849 m2. Im Internet ( www.luxusvillatirol.at ) wurde die Hausverlosung beworben mit ""Hausverlosung einer Luxusvilla in Tirol, Gewinne eine Villa um EUR 99,--"". Nach den im Internet veröffentlichten Verlosungsbedingungen wurden 21.999 Lose zum Einzelpreis von EUR 99,-- zum Verkauf aufgelegt. Weiter heißt es in den Verlosungsbedingungen: ""Durch die Anmeldung auf der Homepage der Verloser werden die Verlosungsbedingungen uneingeschränkt akzeptiert und bestätigt der Anmelder eigenberechtigt zu sein. … Der Verkehrswert der zu verlosenden Liegenschaft samt Inventar beträgt laut Gutachten … mindestens 1,5 Millionen Euro. Die Glückspielgebühr beträgt EUR 261.348. Die Grunderwerbsteuer (3,5%) und Grundbuchseintragungsgebühr (1%) betragen insgesamt EUR 98.006,--. Vom Gesamterlös werden zusätzlich zur Glückspielgebühr, Grunderwerbsteuer und Eintragungsgebühr noch die Kosten für Notar, Treuhänder, Bankspesen, Absicherung über Bankgarantien, Werbemaßnahmen und andere Barauslagen beglichen."" Unter der Überschrift ""Nichtverkauf der 21.999 Lose bei Ende der Verlosungszeit"" wurde in den Verlosungsbedingungen festgehalten: ""Die Verlosung erfolgt nach Verkauf aller Lose. Sollten am Ende der Verlosungszeit nicht alle Lose verkauft sein, können die Verloser entscheiden, ob sie dennoch verlosen wollen. Sollten also zu Verlosungsende weniger als 21.999 Lose verkauft sein, haben die Verloser das Recht, zwischen Durchführung der Verlosung unter den Teilnehmern oder Abbruch der Verlosung und der Rücküberweisung der Losbeträge ab",; ABGB §860; ABGB §861; BAO §21; GrEStG 1987 §1 Abs1 Z1; GrEStG 1987 §4; GrEStG 1987 §4 Abs1; GrEStG 1987 §5; GrEStG 1987 §5 Abs1; GrEStG 1987 §5 Abs3 Z2
JWR_2022160045_20221020L02,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Mit Bescheid vom 30. November 2016 setzte das Finanzamt gegenüber dem Mitbeteiligten für den zwischen ihm als Käufer (gemeinsam mit 11 anderen Personen) und einer natürlichen Person als Verkäuferin abgeschlossenen Kaufvertrag vom 21. Dezember 2010 über ideelle Anteile an einer näher bezeichneten Liegenschaft Grunderwerbsteuer abweichend von der durchgeführten Selbstberechnung - ausgehend von einer höheren Bemessungsgrundlage aufgrund der Einbeziehung von Baukosten und Nebenkosten iZm einem Bauherrenprojekt - fest. 2 Die gegen diesen Bescheid erhobene Beschwerde des Mitbeteiligten wies das Finanzamt mit Beschwerdevorentscheidung ab. Der Mitbeteiligte stellte einen Vorlageantrag. 3 Mit dem angefochtenen Erkenntnis gab das Bundesfinanzgericht der Beschwerde des Mitbeteiligten Folge und hob den angefochtenen Bescheid ersatzlos auf. Es sprach aus, dass die Revision gemäß Art. 133 Abs. 4 B-VG nicht zulässig sei. Mit dem angefochtenen Erkenntnis gab das Bundesfinanzgericht der Beschwerde des Mitbeteiligten Folge und hob den angefochtenen Bescheid ersatzlos auf. Es sprach aus, dass die Revision gemäß Artikel 133, Absatz 4, B-VG nicht zulässig sei. 4 Das Bundesfinanzgericht führte aus, der Mitbeteiligte habe gemeinsam mit 11 anderen Personen mit Kaufvertrag vom 21. Dezember 2010 ideelle Anteile an einer näher genannten Liegenschaft erworben. Am 22. Februar 2011 sei die Selbstberechnung der Grunderwerbsteuer durchgeführt worden. 5 Am 16. Dezember 2015 habe die belangte Behörde Einsicht in das Grundbuch betreffend die verfahrensgegenständliche Liegenschaft genommen und einen Grundbuchsauszug angefertigt. Dieser Auszug sei mit einem handschriftlichen Datumsvermerk, einem Datumsstempel sowie dem Namen des Sachbearbeiters samt Paraphe versehen und zum (Grunderwerbsteuer-)Akt des Mitbeteiligten genommen worden. Zusätzlich habe die belangte Behörde den im Jahr 2010 abgeschlossenen Kaufvertrag aus der (digitalen) Urkundensammlung abgerufen und ausgedru",BAO §209 Abs1; GrEStG 1987 §1 Abs1 Z1; GrEStG 1987 §11; GrEStG 1987 §4; GrEStG 1987 §4 Abs1; GrEStG 1987 §5; GrEStG 1987 §9; VwRallg
JWR_2005160193_20070228X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Aus dem vorgelegten Verwaltungsakt ergibt sich folgender - im Wesentlichen unstrittige - Sachverhalt: Am 21. Dezember 2000 hat die Mitbeteiligte als Übernehmerin mit ihrer Mutter als Übergeberin einen ""Übergabsvertrag"" in der Form eines Notariatsaktes abgeschlossen. Gegenstand der Vereinbarung war die Übergabe einer Liegenschaft samt Gebäude sowie das in diesem Gebäude betriebene Unternehmen einer Gastwirtschaft. Festgehalten wurde in dem Vertrag weiter, dass die Vertragsparteien die Gastwirtschaft in Form einer Gesellschaft bürgerlichen Rechts (GesbR) führten, an der sie je zur Hälfte beteiligt gewesen seien. Als Gegenleistung werde der Übergeberin ein Wohnungs- und Versorgungsrecht eingeräumt; zudem hafte die Mitbeteiligte für alle Verbindlichkeiten des übergebenen Unternehmens und sie erkläre, diesbezüglich die Übergeberin vollkommen klag- und schadlos zu halten. Der den Übergabsvertrag beurkundende Notar übermittelte dem Finanzamt U. eine Abgabenerklärung gemäß § 10 Grunderwerbsteuergesetz (GrEStG). Der den Übergabsvertrag beurkundende Notar übermittelte dem Finanzamt U. eine Abgabenerklärung gemäß Paragraph 10, Grunderwerbsteuergesetz (GrEStG). Auf Grund eines Ersuchens um Ergänzung dieser Erklärung wurde dem Finanzamt U. unter anderem eine Bilanz des von der Mitbeteiligten und ihrer Mutter betriebenen Unternehmens vorgelegt. Nach dieser Bilanz betrugen die Verbindlichkeiten des Unternehmens zum 30. Dezember 2000 S 14,376.463,--, das Kapitalkonto der Beschwerdeführerin wies in diesem Zeitpunkt einen Stand von minus S 9,108.395,--, jenes ihrer Mutter einen Stand von minus S 2,728.605,-- auf. Mit Bescheid vom 25. April 2002 setzte das Finanzamt U. die Grunderwerbsteuer für den Übergabsvertrag vom 21. Dezember 2000 mit EUR 8.533,68 fest. Nach der Begründung ging sie von den Einheitswerten für das übergebene Vermögen aus und setzte als Gegenleistung - jeweils kapitalisiert - das vereinbarte Wohnungsrecht und die Versorgungsrente sowie die Hälfte der Betriebsschuld",; GrEStG 1987 §4 Abs1; GrEStG 1987 §4 Abs2; GrEStG 1987 §5; GrEStG 1987 §5 Abs1
JWR_1998160125_20010124X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die Rechtsvorgängerin der Beschwerdeführerin, die A-Bauträger GmbH, brachte am 12. August 1993 beim Bürgermeister der Gemeinde Alkoven als Baubehörde ein Bauansuchen ein, das darauf gerichtet war, auf den in dieser Gemeinde gelegenen Parzellen Nr. 1517/1 bis 1517/50 der Liegenschaft EZ 137, Grundbuch 45001 Alkoven, ein Wohndorf mit 50 Einfamilienhäusern zu errichten. Eigentümer dieser Liegenschaft waren zu diesem Zeitpunkt je zur Hälfte die Ehegatten Wilhelm und Maria M.; Wilhelm M. war auch Gesellschafter der A-Bauträger GmbH. Ein weiterer Gesellschafter war Architekt H., der die Pläne für das Bauvorhaben verfasste. Am 12. November 1993 wurde die Baubewilligung erteilt. Das Projekt wurde daraufhin auf verschiedene Weise (u.a. durch einen von der A-Bauträger GmbH veröffentlichen Prospekt) bis 1996 immer wieder beworben. Mit Kaufvertrag vom 28. Mai 1995 wurden die Parzellen 1517/1 bis 1517/30 dieses Grundstücks von den Ehegatten M außerbücherlich an die B-AG veräußert. Diese verkaufte im September bzw. Oktober 1995 je eine Parzelle dieses Grundstücks an die Ehegatten W, X und Y sowie an Z (im Folgenden als Erwerber bezeichnet), wobei in den Kaufverträgen ausdrücklich darauf hingewiesen wurde, dass der Bebauungsplan der Gemeinde Alkoven die Rechtsgrundlage für die Errichtung einer Wohnanlage mit Wohngebäuden in gekuppelter Bauweise bilde. In unmittelbarem zeitlichen Zusammenhang schlossen die Erwerber mit der Beschwerdeführerin jeweils Werkverträge ab, in welchen sich letztere zur Errichtung von Wohnhäusern auf den von den Erwerbern gekauften Parzellen entsprechend der seinerzeit von ihrer Rechtsvorgängerin erwirkten Baubewilligung verpflichtete. Am 12. November 1993 wurde die Baubewilligung erteilt. Das Projekt wurde daraufhin auf verschiedene Weise (u.a. durch einen von der A-Bauträger GmbH veröffentlichen Prospekt) bis 1996 immer wieder beworben. Mit Kaufvertrag vom 28. Mai 1995 wurden die Parzellen 1517/1 bis 1517/30 dieses Grundstücks von den Ehegatten M außerbü",; GrEStG 1987 §1 Abs1; GrEStG 1987 §1 Abs2
JWR_2003160077_20030626X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Mit Kaufvertrag vom 8. Juni 2001 erwarb der Beschwerdeführer von der C. Freizeitanlagen-Betriebs-GmbH zwei aus einer Reihe von an einem Badesee gelegenen Grundstücken um den Kaufpreis von S 600.000,--. Im § 5 der Vertragsurkunde ist die Zufahrt zum Grundstück über ein als Straße genutztes Grundstück näher geregelt. Im selben Vertragspunkt erklärt der Verkäufer sein Einverständnis, dass dem Käufer die Nutzung des unmittelbar angrenzenden Badesees zu Freizeitzwecken auf unbestimmte Zeit gestattet wird. In § 7 der Vertragsurkunde wird vom Käufer zur Kenntnis genommen, dass auf den angrenzenden Grundstücken, die im Eigentum des Verkäufers stehen, vom Verkäufer eine Freizeitanlage betrieben und dass auf dieser Anlage auch mehrere ""Gastrobetriebe"" bestehen. Der Käufer räumt in diesem Vertragspunkt ausdrücklich die Dienstbarkeit der Duldung des Betriebs einer Freizeitanlage ein. § 8 der Vertragsurkunde lautet auszugsweise: Mit Kaufvertrag vom 8. Juni 2001 erwarb der Beschwerdeführer von der C. Freizeitanlagen-Betriebs-GmbH zwei aus einer Reihe von an einem Badesee gelegenen Grundstücken um den Kaufpreis von S 600.000,--. Im Paragraph 5, der Vertragsurkunde ist die Zufahrt zum Grundstück über ein als Straße genutztes Grundstück näher geregelt. Im selben Vertragspunkt erklärt der Verkäufer sein Einverständnis, dass dem Käufer die Nutzung des unmittelbar angrenzenden Badesees zu Freizeitzwecken auf unbestimmte Zeit gestattet wird. In Paragraph 7, der Vertragsurkunde wird vom Käufer zur Kenntnis genommen, dass auf den angrenzenden Grundstücken, die im Eigentum des Verkäufers stehen, vom Verkäufer eine Freizeitanlage betrieben und dass auf dieser Anlage auch mehrere ""Gastrobetriebe"" bestehen. Der Käufer räumt in diesem Vertragspunkt ausdrücklich die Dienstbarkeit der Duldung des Betriebs einer Freizeitanlage ein. Paragraph 8, der Vertragsurkunde lautet auszugsweise: Der Käufer verpflichtet sich, als Erhaltungsbeitrag für die allgemeinen Einrichtungen und die Infrastruktur der",; GrEStG 1987 §4; GrEStG 1987 §5
JWR_2013160105_20141016X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Der Beschwerdeführer, ein öffentlicher Notar, stellte mit Schriftsatz vom 17. März 2010 einen Antrag auf bescheidmäßige Festsetzung der Selbstbemessungsabgaben für den Zeitraum Mai und Juni 2008 gemäß § 201 Abs. 3 Z 2 BAO. Der Beschwerdeführer, ein öffentlicher Notar, stellte mit Schriftsatz vom 17. März 2010 einen Antrag auf bescheidmäßige Festsetzung der Selbstbemessungsabgaben für den Zeitraum Mai und Juni 2008 gemäß Paragraph 201, Absatz 3, Ziffer 2, BAO. Dies veranlasste das Finanzamt zu einem Vorhalt, den der Beschwerdeführer mit Schriftsatz vom 7. Mai 2010 beantwortete. In diesem Schriftsatz stellte er einen Antrag gemäß § 216 BAO auf ""Ausstellung eines Abrechnungsbescheides für das Finanzamtskonto (des Beschwerdeführers) für den Zeitraum 1. 1. 2008 bis laufend"". Dies veranlasste das Finanzamt zu einem Vorhalt, den der Beschwerdeführer mit Schriftsatz vom 7. Mai 2010 beantwortete. In diesem Schriftsatz stellte er einen Antrag gemäß Paragraph 216, BAO auf ""Ausstellung eines Abrechnungsbescheides für das Finanzamtskonto (des Beschwerdeführers) für den Zeitraum 1. 1. 2008 bis laufend"". Das Finanzamt wies den Antrag vom 7. Mai 2010 mit Bescheid vom 29. Juli 2010 ab, weil im Verfahren gemäß § 216 BAO nicht geklärt werden könne, ob eine Selbstberechnung ordnungsgemäß durchgeführt worden sei oder ob ein Antrag auf Übertragung von Geschäftsfällen von einem auf ein anderes Steuerkonto rechtmäßig gestellt worden sei. Das Finanzamt wies den Antrag vom 7. Mai 2010 mit Bescheid vom 29. Juli 2010 ab, weil im Verfahren gemäß Paragraph 216, BAO nicht geklärt werden könne, ob eine Selbstberechnung ordnungsgemäß durchgeführt worden sei oder ob ein Antrag auf Übertragung von Geschäftsfällen von einem auf ein anderes Steuerkonto rechtmäßig gestellt worden sei. Mit Bescheid vom 11. Oktober 2010 wies das Finanzamt den Antrag vom 17. März 2010 mangels Aktivlegitimation zurück, weil der Beschwerdeführer lediglich Parteienvertreter im Sinne des § 11 GrEStG sei, jedoch kein Abgabepfl",; BAO §201; BAO §202 Abs1; BAO §216; BAO §77 Abs1; GrEStG 1987 §13 Abs4; KVG 1934 §10a Abs1; KVG 1934 §10a Abs8
JWR_2001160017_20040513X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die Beschwerdeführerin erwarb mit Kaufvertrag vom 5. Dezember 1977 von der S-Baubetriebe GesmbH 14 Eigentumswohnungen samt 14 PKW-Abstellplätzen um den (im Kaufvertrag so bezeichneten) ""Nettokaufpreis"" von S 19.519.630,--. Vereinbart war im Kaufvertrag, dass dieser Nettokaufpreis ein Fixpreis sei, in dem sowohl die Grund- als auch die Baukosten der schlüsselfertigen, den Bestimmungen des Vertrages entsprechenden Einheit einschließlich der Kosten der Erschließung des Grundstückes enthalten seien und eine Nachverrechnung von während der Bauzeit eingetretenen Lohn- und Materialpreiserhöhungen ausgeschlossen sei. Die Punkte 3.2 und 3.3 des Kaufvertrages lauten: ""3.2 Umsatzsteuer Zusätzlich zum Nettokaufpreis hat die Käuferin die Umsatzsteuer aus den Baukosten in Höhe von höchstens S 3,051.991,-- zu entrichten, wobei die Käuferin nach Fertigstellung des Bauvorhabens eine endgültige Abrechnung der Umsatzsteuer gemäß § 12 UstG 1994 erhält. zu entrichten, wobei die Käuferin nach Fertigstellung des Bauvorhabens eine endgültige Abrechnung der Umsatzsteuer gemäß Paragraph 12, UstG 1994 erhält. 3.3 Der Gesamtkaufpreis inklusive Umsatzsteuer beträgt daher höchstens S 22,571.621,-- Die Vertragsparteien halten einvernehmlich fest, dass die Käuferin die vertragsgegenständlichen Wohnungen zum Zwecke der Vermietung erwirbt. Die Verkäuferin erklärt sich aus diesem Grund grundsätzlich bereit, einer steuerlichen Überrechnung gemäß § 215 BAO der Umsatzsteuer zuzustimmen und wird zu diesem Zweck das entsprechende Einvernehmen seitens der Käuferin mit der Verkäuferin herzustellen sein."" Die Vertragsparteien halten einvernehmlich fest, dass die Käuferin die vertragsgegenständlichen Wohnungen zum Zwecke der Vermietung erwirbt. Die Verkäuferin erklärt sich aus diesem Grund grundsätzlich bereit, einer steuerlichen Überrechnung gemäß Paragraph 215, BAO der Umsatzsteuer zuzustimmen und wird zu diesem Zweck das entsprechende Einvernehmen seitens der Käuferin mit der Verkäuferin herzustellen sein",; GrEStG 1987 §4; GrEStG 1987 §5; GrEStG 1987 §5 Abs1 Z1; UStG 1994 §6 Abs2 idF 1998/I/079
JWR_2023160138_20251022L09,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Mit Schriftsatz vom 7. September 2021 zeigte der Rechtsvertreter des Mitbeteiligten einen zwischen dem Mitbeteiligten und seiner damaligen Ehegattin am 24. August 2021 abgeschlossenen Vertrag in der Form eines Notariatsaktes mit der Bezeichnung „Änderung des Ehepaktes“ beim Finanzamt Österreich an. 2 Nach Durchführung eines Vorhalteverfahrens setzte das Finanzamt für dieses Rechtsgeschäft eine Gebühr für Vergleiche gemäß § 33 TP 20 Abs. 1 lit. b GebG in näher angeführter Höhe - ausgehend von den vom Mitbeteiligten im Vertrag übernommenen Leistungen (einem Barbetrag und einer auf die Lebensdauer der Ehegattin kapitalisierten Unterhaltsleistung) - fest. Nach Durchführung eines Vorhalteverfahrens setzte das Finanzamt für dieses Rechtsgeschäft eine Gebühr für Vergleiche gemäß Paragraph 33, TP 20 Absatz eins, Litera b, GebG in näher angeführter Höhe - ausgehend von den vom Mitbeteiligten im Vertrag übernommenen Leistungen (einem Barbetrag und einer auf die Lebensdauer der Ehegattin kapitalisierten Unterhaltsleistung) - fest. 3 In der dagegen erhobenen Beschwerde brachte der Mitbeteiligte im Wesentlichen vor, der am 24. August 2021 abgeschlossene Vertrag sei nicht als Vergleich iSd § 33 TP 20 GebG anzusehen. Mit dem Vertrag seien ausschließlich unstrittig bestehende und unzweifelhafte Rechte der Vertragsparteien aus einem vor Verehelichung im Jahr 2005 abgeschlossenen Ehepakt neu festgelegt worden. In der dagegen erhobenen Beschwerde brachte der Mitbeteiligte im Wesentlichen vor, der am 24. August 2021 abgeschlossene Vertrag sei nicht als Vergleich iSd Paragraph 33, TP 20 GebG anzusehen. Mit dem Vertrag seien ausschließlich unstrittig bestehende und unzweifelhafte Rechte der Vertragsparteien aus einem vor Verehelichung im Jahr 2005 abgeschlossenen Ehepakt neu festgelegt worden. 4 Das Finanzamt wies die Beschwerde mit Beschwerdevorentscheidung ab, woraufhin der Mitbeteiligte die Vorlage seiner Beschwerde an das Bundesfinanzgericht beantragte. 5 Mit dem ang",GebG 1957 §15 Abs3; GrEStG 1987 §4
JWR_2008160126_20090129X06,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die K GmbH ist - laut einem in den vorgelegten Verwaltungsakten einliegenden Auszug aus dem Firmenbuch - die Komplementärin der K GmbH & Co KG (der mitbeteiligten Partei). Die K GmbH war die einzige Komplementärin, die Mitbeteiligte die einzige Kommanditistin der BAG KG (in der Folge auch kurz: ""BAG KG""). Der am 3. Mai 2001 zwischen der K GmbH und der mitbeteiligten Partei unter Beitritt der BAG KG abgeschlossene ""Gesellschafteraustrittsvertrag Anwachsungsvereinbarung"" lautet auszugsweise: "" § 1 Präambel (1) Absatz eins, Die K GmbH (im folgenden kurz 'austretende Gesellschafterin' genannt) und die K GmbH & Co KG (im folgenden kurz 'verbleibende Gesellschafterin' genannt) sind die einzigen Gesellschafter der zu FN 190756 z beim Landesgericht Graz eingetragenen BAG KG. (2) Absatz 2, Die K GmbH hat als Arbeitsgesellschafter die Stellung der persönlich haftenden Gesellschafterin inne. Sie ist weder am Vermögen noch an den stillen Reserven und am Firmenwert der BAG KG beteiligt. (3) Absatz 3, Die K GmbH & Co KG ist alleinige Kommanditistin der BAG KG mit einer Vermögenseinlage von EUR 36.336,42. Sie ist alleine am Vermögen, an den stillen Reserven und am Firmenwert beteiligt. § 2 Paragraph 2 Vertragsgegenstand (1) Absatz eins, Die Vertragsteile kommen überein, dass die alleinige persönlich haftende Gesellschafterin K GmbH aus der BAG & Co KG nach Maßgabe dieses Vertrages ausscheidet. Da aufgrund dieses Ausscheidens die K GmbH & Co KG als alleinige Gesellschafterin verbleiben würde, hat dies zwingend die Auflösung der BAG Vertriebsgesellschaft m.b.H. Nfg & Co KG zur Folge. (2) Absatz 2, Die vertragsschließenden Parteien kommen in diesem Zusammenhang überein, dass das gesamte Vermögen der BAG Vertriebsgesellschaft m.b.H. Nfg & Co KG mit allen Aktiven und Passiven auf die nunmehr alleinige Gesellschafterin, die K GmbH & Co KG im Rahmen eines Anwachsungsvorganges gemäß § 142 HGB im Wege der Gesamtrechtsnachfolge übergeht. Die Anwachsung erfolgt gemäß den Bestimmungen des §",; GrEStG 1987 §4 Abs1
