id,instruction,input,output
JWR_2007150159_20091028X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Mit dem im Instanzenzug ergangenen angefochtenen Bescheid wurde die Umsatzsteuer für März 2004 festgesetzt. In der Begründung des angefochtenen Bescheides führte die belangte Behörde aus, der Beschwerdeführer sei Alleingesellschafter und Geschäftsführer der am 18. Jänner 2001 errichteten E Betriebsorganisation GmbH (in der Folge: GmbH). Die GmbH habe dem Finanzamt eine Rechnung des Beschwerdeführers vom 1. Februar 2001 über die Übertragung des Konsolidierungsprogrammes (easy consol) in Höhe von S 1 Mio. plus S 200.000,-- USt, für welche die GmbH in der Umsatzsteuervoranmeldung für Februar 2001 den Vorsteuerabzug geltend gemacht habe, übermittelt. Mit Umsatzsteuervoranmeldung für Jänner 2002 habe die GmbH einen Vorsteuerabzug von insgesamt S 400.000,-- begehrt und habe eine weitere Rechnung des Beschwerdeführers vom 15. Jänner 2002 für die zweite Tranche über einen Betrag von S 1 Mio. plus Umsatzsteuer vorgelegt. Der Vorsteuerabzug im Zusammenhang mit dem Konsolidierungsprogramm sei vom Finanzamt nicht anerkannt worden. Die belangte Behörde habe die Berufung der GmbH mit Bescheid vom 13. November 2002 abgewiesen. Die belangte Behörde sei damals zur Feststellung gelangt, dass die vom Beschwerdeführer in Rechnung gestellte Übertragung des Konsolidierungsprogrammes nicht stattgefunden habe, weil ein entsprechendes Software-Paket im Streitzeitraum Jänner 2002 gar nicht vorhanden gewesen sei und der Rechnung somit keine tatsächliche Leistung zu Grunde gelegen sei. Der Verwaltungsgerichtshof habe die vom Beschwerdeführer gegen diesen Bescheid erhobene Beschwerde als unbegründet abgewiesen (Hinweis auf das hg. Erkenntnis vom 20. Dezember 2006, 2003/13/0003). Das vorliegende Verfahren betreffe die Rechnung der GmbH vom 1. März 2004 an den Beschwerdeführer mit folgendem Inhalt: ""Als Kaufpreisminderung für das Konsolidierungsprogramm 'easy consol' stelle ich in Rechnung: € 50.000,-- € 10.000, - - (20 % USt) € 60.000,-- Betrag dankend erhalten"" Im Rahmen der Außenprüfung der U",UStG 1994 §1 Abs1 Z1
JWR_1998150113_20001031X03,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die Beschwerdeführerin ist Unternehmerin. Sie erstellte für Jänner 1998 eine Umsatzsteuervoranmeldung (Zahllast 54.618 S) und sandte diese per Post an das Finanzamt. Dort langte die Umsatzsteuervoranmeldung am 18. März 1998 ein. Mit Eingabe vom 17. Februar 1998 hatte die Beschwerdeführerin die Rückzahlung des auf ihrem Abgabenkonto ausgewiesenen Guthabens von 273.857 S beantragt. Aufgrund dieses Antrages wurde am 17. März 1998 auf dem Abgabenkonto die Rückzahlung des Guthabensstandes verbucht. Das Finanzamt schrieb hinsichtlich der Umsatzsteuer für Jänner 1998 einen Säumniszuschlag von 1.092 S vor, weil die Abgabe am Fälligkeitstag, den 16. März 1998, nicht entrichtet worden sei. Im Berufungsverfahren brachte die Beschwerdeführerin vor, die Umsatzsteuervoranmeldung sei rechtzeitig, nämlich am Montag, den 16. März 1998 zur Post gegeben worden. Die Rückzahlung des Guthabens sei zwar schon am 17. März 1998 am Abgabenkonto verbucht worden, die Rücküberweisung sei tatsächlich aber erst im April 1998 erfolgt. Mit dem angefochtenen Bescheid wies die belangte Behörde die Berufung als unbegründet ab. Die Beschwerdeführerin habe, wie sich dies aus dem Eingangsstempel ergebe, die Umsatzsteuervoranmeldung für Jänner 1998 am 18. März 1998 eingebracht. Zu diesem Zeitpunkt sei die manipulative Bearbeitung des Rückzahlungsantrages bereits abgeschlossen gewesen. Für die fristgerechte Entrichtung der Umsatzsteuervorauszahlung sei daher kein Guthaben zur Verfügung gestanden. Die Umsatzsteuervoranmeldung sei also nicht rechtzeitig, sondern zwei Tage verspätet eingereicht worden, die Umsatzsteuervorauszahlung nicht bis zum Fälligkeitstag entrichtet worden. Über die gegen diesen Bescheid erhobene Beschwerde hat der Verwaltungsgerichtshof erwogen: Die Beschwerdeführerin bringt vor, gemäß § 215 Abs 1 BAO habe die Behörde ein bestehendes Guthaben zur Tilgung der fälligen Umsatzsteuervorauszahlung zu verwenden. Sie dürfte einen Säumniszuschlag nur verhängen, wenn die Abgabe am Fälligkeitsta",; BAO §108 Abs4; BAO §215 Abs1; BAO §217 Abs1; UStG 1994 §21 Abs1
JWR_2017150043_20190403J01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Die revisionswerbende GmbH hat - nach den Feststellungen des Bundesfinanzgerichts (BFG) - im Streitzeitraum insgesamt 7 gebrauchte ""Wörthersee-Motorboote"" ohne Möglichkeit des Vorsteuerabzuges eingekauft und unter Anwendung der Differenzbesteuerung verkauft. Der Verkaufspreis der Boote lag um 200.000 bis 270.000 EUR über dem Verkehrswert vergleichbarer Boote, die nicht zur Benutzung am Wörthersee zugelassen waren. Für den Verkauf der Boote wandte die Revisionswerberin die Differenzbesteuerung gemäß § 24 UStG 1994 jeweils auf den gesamten Verkaufspreis an. 1 Die revisionswerbende GmbH hat - nach den Feststellungen des Bundesfinanzgerichts (BFG) - im Streitzeitraum insgesamt 7 gebrauchte ""Wörthersee-Motorboote"" ohne Möglichkeit des Vorsteuerabzuges eingekauft und unter Anwendung der Differenzbesteuerung verkauft. Der Verkaufspreis der Boote lag um 200.000 bis 270.000 EUR über dem Verkehrswert vergleichbarer Boote, die nicht zur Benutzung am Wörthersee zugelassen waren. Für den Verkauf der Boote wandte die Revisionswerberin die Differenzbesteuerung gemäß Paragraph 24, UStG 1994 jeweils auf den gesamten Verkaufspreis an. 2 Im Zuge einer Außenprüfung vertrat der Prüfer dagegen die Auffassung, dass der Verkaufsvorgang jeweils in zwei selbständige Hauptleistungen, nämlich den Verkauf eines gebrauchten Bootes und die ""Übertragung der Lizenz"" zur Benutzung am Wörthersee aufzuteilen sei, wobei nur die Lieferung des Bootes der Differenzbesteuerung unterliege und die Übertragung der Lizenz mit dem Normalsteuersatz zu erfassen sei. Wertmäßig setzte der Prüfer dabei 200.000 bis 270.000 EUR je Lizenz an, weil dies in einer Rechnung so aufgeteilt gewesen sei und man auch zu diesem rechnerischen Ergebnis komme, wenn man vom Gesamtverkaufspreis den Verkehrswert der gebrauchten Boote abziehe. Für Zwecke der Differenzbesteuerung bei den gebrauchten Booten ging der Prüfer entsprechend davon aus, dass auch beim jeweiligen Ankauf der Boote durch die revisionswerbende GmbH nur ein Teil",62004CJ0041 Levob Verzekeringen und OV Bank VORAB; 62011CJ0044 Deutsche Bank VORAB; BAO §21; UStG 1994 §1 Abs1 Z1
JWR_2011170232_20111010X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Aus der Beschwerde und dem mit ihr in Ablichtung vorgelegten angefochtenen Bescheid ergibt sich folgender Sachverhalt: Die Beschwerdeführerin ist eine Gesellschaft mit beschränkter Haftung mit Sitz in Deutschland, welche im Bereich der Heizungs- und Umwelttechnik, Sanitär- und Abwassertechnik tätig ist. Mit Bescheiden des Amtes der Tiroler Landesregierung jeweils vom 23. Februar 2009 wurden für die Beschwerdeführerin Pflichtbeiträge an den Tourismusverband Kitzbüheler Alpen - Brixental und an den Tiroler Tourismusförderungsfonds für das Jahr 2006 mit EUR 885,28 bzw. EUR 81,72, zusammen sohin EUR 967,-- , sowie für das Jahr 2007 mit EUR 4.232,69 bzw. EUR 390,71, zusammen sohin EUR 4.623,40, endgültig festgesetzt. Die Beschwerdeführerin brachte in ihrer dagegen erhobenen Berufung vor, sie habe ihren Sitz in Deutschland und niemals eine Betriebsstätte im Gebiet des Tourismusverbandes Kitzbüheler Alpen - Brixental gehabt. Bei den von ihr erbrachten Leistungen handle es sich um solche iSd § 3a Abs. 1 UStG 1994, welche nicht überwiegend in Tirol erwirtschaftet, sondern zum Großteil ausschließlich in Deutschland bewirkt worden seien. Die Beschwerdeführerin brachte in ihrer dagegen erhobenen Berufung vor, sie habe ihren Sitz in Deutschland und niemals eine Betriebsstätte im Gebiet des Tourismusverbandes Kitzbüheler Alpen - Brixental gehabt. Bei den von ihr erbrachten Leistungen handle es sich um solche iSd Paragraph 3 a, Absatz eins, UStG 1994, welche nicht überwiegend in Tirol erwirtschaftet, sondern zum Großteil ausschließlich in Deutschland bewirkt worden seien. Nach Ergehen einer abweisenden Berufungsvorentscheidung stellte die Beschwerdeführerin einen Vorlageantrag. Mit dem angefochtenen Bescheid wurde die Berufung als unbegründet abgewiesen. Begründend führte die belangte Behörde nach Wiedergabe des Verfahrensganges und der ihrer Ansicht nach anzuwendenden Rechtsvorschriften aus, die Beschwerdeführerin sei wegen der von ihr im Bereich der Heizungs- und Umwelttechnik,",; TourismusG Tir 2006 §31 Abs1; UStG 1994 §3a Abs6
JWR_2002150161_20060706X02,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die beschwerdeführende Gesellschaft betreibt in T, Italien, ein Möbelhaus. Mit Aufforderung vom 17. August 2000 hielt das Finanzamt einer im Familiennamen mit dem Namen der beschwerdeführenden Partei übereinstimmenden natürlichen Person vor, dass dem Finanzamt bekannt geworden sei, sie habe in Österreich Lieferungen an Privatpersonen ohne Unternehmereigenschaft bzw. sogenannte näher bezeichnete ""Schwellenerwerber"" getätigt. Diese Lieferungen würden als ""Versandhandelslieferungen"" gelten und seien ab dem Überschreiten der Lieferschwelle von 1,400.000 S jährlich in Österreich grundsätzlich der Umsatzsteuer zu unterziehen. Die natürliche Person werde daher ersucht, ihre Umsätze an Privatpersonen und Schwellenerwerber in Österreich ab dem Jahr 1995 ""bis dato (mutmaßliche Umsätze im laufenden Jahr)"" bekannt zu geben. Im Falle des Überschreitens der Lieferschwelle würden ihr Abgabenerklärungen zugesandt werden. Die beschwerdeführende Partei antwortete mit Schriftsatz vom 30. November 2000, dass die Voraussetzung einer Versandhandelslieferung die Beförderung oder Versendung eines Gegenstandes durch den Lieferer selbst oder einen von ihm beauftragten Dritten aus dem Gebiet eines EU-Mitgliedstaates in das Gebiet eines anderen Mitgliedstaates sei. Abholfälle würden ausscheiden. Eine Abholung liege stets dann vor, wenn der Gegenstand durch den Abnehmer oder durch seinen Beauftragten, d.h. somit im Namen und für Rechnung des Abnehmers, befördert werde. Somit sei maßgebend, wer im Außenverhältnis den Transportauftrag erteile. Die beschwerdeführende Partei habe im betreffenden Zeitraum ""1995 bis dato"" keine derartigen Versendungslieferungen nach Österreich getätigt. Die Ware sei ausschließlich am Sitz und Ort des Möbelhauses in T übergeben worden. Als Nachweis legte die beschwerdeführende Partei neben einer Erklärung (die auf Grund einer Anfrage der österreichischen Finanzverwaltung am 8. Juni 1999 bei der italienischen Abgabenverwaltung zu Protokoll gegeben worden sei), dass di",; 31977L0388 Umsatzsteuer-RL 06te Art28b TeilB Abs1 idF 31991L0680; 31977L0388 Umsatzsteuer-RL 06te Art28b TeilB Abs2; 31991L0680 Binnenmarkt-RL; 61995CJ0296 The Queen / Commissioners of Customs and Excise VORAB; UStG 1994 Anh Art3 Abs3; UStG 1994 Anh Art3 Abs5; UStG 1994 Anh Art3 Abs6 idF 1996/756
JWR_2002130199_20060125X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die Beschwerdeführerin betreibt einen Telefonmehrwertdienst sowie eine Begleitagentur ""Escortservice"". Im Zuge einer Prüfung der Aufzeichnungen gemäß § 151 BAO in der Fassung des BG BGBl. Nr. 151/1980 (""Umsatzsteuersonderprüfung"") über die Monate Februar 1999 bis Mai 2000 stellte die Prüferin fest, dass Kunden bei der Inanspruchnahme des Escortservice ein von der Beschwerdeführerin festgelegtes Entgelt laut Tarifliste zahlten. Dieses Entgelt beinhalte einen 45 %-igen Provisionsanteil für die Beschwerdeführerin und einen 55 %-igen ""Escortanteil"" für die Begleitperson. Im Rechenwerk der Beschwerdeführerin sei nur der 45 %-ige Provisionsanteil verbucht und der 55 %-ige Escortanteil als durchlaufender Posten behandelt worden. Die Aufspaltung eines einheitlichen wirtschaftlichen Vorganges in seine Einzelleistungen sei unzulässig. Für die Feststellung, ob ein Vermittlungsgeschäft vorliege, sei das Außenverhältnis maßgeblich. Die Beschwerdeführerin werde bezüglich des gesamten Entgeltes dem Kunden gegenüber tätig. Deshalb sei das gesamte Entgelt als Escortserviceentgelt der Versteuerung zu unterziehen. Im Zuge einer Prüfung der Aufzeichnungen gemäß Paragraph 151, BAO in der Fassung des BG Bundesgesetzblatt Nr. 151 aus 1980, (""Umsatzsteuersonderprüfung"") über die Monate Februar 1999 bis Mai 2000 stellte die Prüferin fest, dass Kunden bei der Inanspruchnahme des Escortservice ein von der Beschwerdeführerin festgelegtes Entgelt laut Tarifliste zahlten. Dieses Entgelt beinhalte einen 45 %-igen Provisionsanteil für die Beschwerdeführerin und einen 55 %-igen ""Escortanteil"" für die Begleitperson. Im Rechenwerk der Beschwerdeführerin sei nur der 45 %-ige Provisionsanteil verbucht und der 55 %-ige Escortanteil als durchlaufender Posten behandelt worden. Die Aufspaltung eines einheitlichen wirtschaftlichen Vorganges in seine Einzelleistungen sei unzulässig. Für die Feststellung, ob ein Vermittlungsgeschäft vorliege, sei das Außenverhältnis maßgeblich. Die Beschwerdeführerin werde b",; UStG 1994 §1 Abs1 Z1; UStG 1994 §4 Abs3
JWR_1997150191_20000127X03,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Beim Beschwerdeverfahren handelt es sich um das fortgesetzte Verfahren nach dem aufhebenden Erkenntnis des Verwaltungsgerichtshofes vom 20. November 1996, 94/15/0127. Mit diesem Vorerkenntnis wurde der damals angefochtene Bescheid der belangten Behörde vom 24. Juni 1994 wegen inhaltlicher Rechtswidrigkeit aufgehoben, weil nach dem Erkenntnis eines verstärkten Senates des Verwaltungsgerichtshofes vom 18. Oktober 1995, 91/13/0037, 0038, auch bei der streitgegenständlichen Haftung für Umsatzsteuer das Verschulden des Geschäftsführers wie bei anderen Abgaben (mit Ausnahme von Lohnsteuer und Kapitalertragsteuer) zu beurteilen sei. Auf die Umsatzsteuer finde daher der allgemeine Grundsatz Anwendung, dass der Vertreter die Abgabenforderungen bei der Verfügung über die vorhandenen Mittel nicht benachteiligen dürfe. Als Folge ihrer unrichtigen Rechtsansicht habe die belangte Behörde nicht geklärt, ob der Beschwerdeführer in seiner Funktion als ehemaliger Vorstand der T AG während seiner Vertretertätigkeit fällige Abgabenforderungen der Gesellschaft gegenüber anderen Verbindlichkeiten dieser Gesellschaft benachteiligt habe. Im fortgesetzten Verfahren gab die belangte Behörde nach Durchführung eines Vorhalteverfahrens (Vorhalte vom 11. März und 12. Juni 1997 sowie Vorhaltsbeantwortungen vom 27. März bzw. 30. Juni 1997) der Berufung mit dem angefochtenen Bescheid teilweise Folge. Sie setzte den Haftungsbetrag gegenüber dem Vorerkenntnis von 3,121.771 S auf 2,638.012 S herab. Diese Haftungssumme gliederte sich in Beträge für Umsatzsteuer 10-12/87 in Höhe von 551.524 S und Umsatzsteuer 01-10/88 in Höhe von 2,086.488 S. Zur Begründung führte die belangte Behörde nach Wiedergabe des Verfahrensganges aus, einem Geschäftsführer könne die Nichtentrichtung von Abgaben, die nach der Niederlegung seiner Funktion fällig geworden seien, nicht angelastet werden. Da beim Beschwerdeführer die Zurücklegung der Vorstandsfunktion mit 30. Juni 1989 anzunehmen sei, seien die erst im Betriebsprüfu",; 11992E177 EGV Art177; 11997E234 EG Art234; 31977L0388 Umsatzsteuer-RL 06te; EURallg; UStG 1972 §4 Abs5; UStG 1972 §6 Z9 litd; VwGG §38a
JWR_2000160238_20000525X02,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Mit Haftungsbescheid vom 16. November 1998 zog der Magistrat der Stadt Wien auf Grund des § 12 Abs. 1 sowie der §§ 2 und 5 WAO die Beschwerdeführerin zur Zahlung der im Jahre 1997 entstandenen Getränkesteuerschuld im Betrag von S 25.719,-- heran. Dies mit der Begründung, die frühere Unternehmerin schulde an Getränkesteuer S 22.500,-- Verspätungszuschlag S 2.250,--, Säumniszuschlag S 450,--, Mahngebühr S 200,-- und Pfändungsgebühr S 319,--, somit insgesamt S 25.719,--. Da der Betrieb - wie amtlich festgestellt - im Jahre 1998 käuflich erworben worden sei und eine Übereignung im Ganzen vorliege, sei die gesetzliche Voraussetzung für die Haft- und Zahlungspflicht gegeben. Der in der Stellungnahme vom 3. November 1998 vorgebrachte Einwand, es sei lediglich das Inventar gekauft worden und es habe somit keine Übereignung stattgefunden, gehe ins Leere. Für die Geltendmachung der Haftung sei wesentlich, dass der Übergang eines lebensfähigen Unternehmens stattgefunden habe. Dabei müssten jedoch nicht alle zum Betrieb gehörigen Wirtschaftsgüter übereignet worden sein, sondern nur jene, die die wesentlichen Grundlagen des Betriebes bildeten und den Erwerber in die Lage versetzten, einen gleichwertigen Betrieb fortzuführen. Bei Gastronomieunternehmen zähle das Inventar zu den wesentlichen Grundlagen des Unternehmens, weshalb die Heranziehung zur Haftung gerechtfertigt sei. Diesem Bescheid waren Kopien der Revisionen und ein Zahlschein angeschlossen. Mit Haftungsbescheid vom 16. November 1998 zog der Magistrat der Stadt Wien auf Grund des Paragraph 12, Absatz eins, sowie der Paragraphen 2 und 5 WAO die Beschwerdeführerin zur Zahlung der im Jahre 1997 entstandenen Getränkesteuerschuld im Betrag von S 25.719,-- heran. Dies mit der Begründung, die frühere Unternehmerin schulde an Getränkesteuer S 22.500,-- Verspätungszuschlag S 2.250,--, Säumniszuschlag S 450,--, Mahngebühr S 200,-- und Pfändungsgebühr S 319,--, somit insgesamt S 25.719,--. Da der Betrieb - wie amtlich festgestell",; BAO §14 Abs1 lita; EStG 1988 §10 Abs5; EStG 1988 §24 Abs1; LAO Wr 1962 §12 Abs1 Z1; UStG 1994 §4 Abs7; VwRallg
JWR_2017150019_20180627L01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Die mitbeteiligte Partei ist eine Gesellschaft mit beschränkter Haftung, die nach den unbestrittenen Feststellungen des Bundesfinanzgerichts im Oktober 2005 gegründet wurde und deren alleinige Gesellschafterin eine Gemeinde ist. Geschäftsgegenstand der Mitbeteiligten ist u.a. der Ankauf und die Vermietung von Grundstücken, insbesondere die Vermietung von Gebäuden für Schulzwecke und für Zwecke eines Kindergartens. 2 Die Gemeinde übertrug der mitbeteiligten Gesellschaft das Grundstück mit dem Kindergarten und der Volksschule ins Eigentum und verpflichtete sie, die Gebäude auf diesem Grundstück einer Generalsanierung zu unterziehen. Dieser Verpflichtung kam die mitbeteiligte Gesellschaft nach und vermietete sodann der Gemeinde das Grundstück mit dem Kindergarten und der Volksschule ab dem Jahr 2005 (inklusive der Streitjahre 2009 bis 2012). Gemäß Mietvertrag vom 14. November 2005 wurde als Mietdauer eine Überlassung ""auf unbestimmte Zeit, kündbar zum 31.12. eines jeden Jahres unter Einhaltung einer einjährigen Frist"" vereinbart. Betreffend Mietzins vereinbarten die Vertragsparteien einen Mietzins, der in Übereinstimmung mit den Umsatzsteuerrichtlinien (UStR) 2000 Rz 274 festgesetzt werde. Dieser müsse eine Höhe von 1,5% der Anschaffungs- oder Herstellungskosten nach § 7 EStG 1988 abzüglich eventueller Bedarfszuweisungen gemäß § 12 Abs. 1 Finanzausgleichsgesetz aufweisen. Die Betriebskosten seien von der Mieterin zu tragen. 2 Die Gemeinde übertrug der mitbeteiligten Gesellschaft das Grundstück mit dem Kindergarten und der Volksschule ins Eigentum und verpflichtete sie, die Gebäude auf diesem Grundstück einer Generalsanierung zu unterziehen. Dieser Verpflichtung kam die mitbeteiligte Gesellschaft nach und vermietete sodann der Gemeinde das Grundstück mit dem Kindergarten und der Volksschule ab dem Jahr 2005 (inklusive der Streitjahre 2009 bis 2012). Gemäß Mietvertrag vom 14. November 2005 wurde als Mietdauer eine Überlassung ""auf unbestimmte Zeit, kündbar zum 31.12.",; KStG 1988 §8 Abs2; UStG 1994 §12 Abs2 Z2 lita
JWR_2018130001_20180425X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Beim Beschwerdeführer wurde eine Außenprüfung betreffend die Jahre 2005 bis 2008 und den Nachschauzeitraum Jänner bis November 2009 durchgeführt. Der Prüfer stellte fest, dass der Beschwerdeführer im Streitzeitraum eine Liegenschaft erworben und ein darauf befindliches Gebäude renoviert sowie ein weiteres Gebäude errichtet habe. Zu diesem Zweck habe er Aufträge an acht Gesellschaften vergeben, die als Schein- bzw. Betrugsfirmen anzusehen seien. 2 An die vom Prüfer inkriminierten Gesellschaften seien Aufträge im Wert von insgesamt 805.126,75 EUR (netto) vergeben worden, wobei der Beschwerdeführer mit diesen Gesellschaften keine Vereinbarungen betreffend Gewährleistung oder Haftrücklass getroffen habe. Anbote des jeweiligen Auftragnehmers lägen nicht vor. Bautagebücher oder Aufzeichnungen über Baubesprechungen, anhand welcher die Leistungen der Gesellschaften verifiziert werden könnten, existierten ebenfalls nicht und die Bezahlung sei durchgehend in bar erfolgt. Laut Beschwerdeführer seien Auftragsvergabe, Baubesprechungen und Bezahlung immer vor Ort auf der Baustelle erfolgt. Der Beschwerdeführer habe zwar Unterlagen der Gesellschaften vorgelegt, von der Richtigkeit der im Firmenbuch angegebenen Adressen habe er sich aber nicht überzeugt. Wie im Zuge von Erhebungen festgestellt worden sei, hätten die Gesellschaften an den im Firmenbuch angeführten Adressen keine Geschäftstätigkeit entfaltet. 3 Dass es sich bei den Gesellschaften um Scheinfirmen handle, werde auch durch Aussagen von Bauleitern anderer Baufirmen erhärtet, die auf der Baustelle des Beschwerdeführers gearbeitet hätten. Die Bauleiter hätten angegeben, der Kontakt zum Beschwerdeführer sei stets über Anbote zustande gekommen und der Beschwerdeführer sei Ansprechperson für die Bauleiter gewesen. Von keinem der Bauleiter sei die Anwesenheit der ""Gesellschaften"" auf der Baustelle (Firmenschilder, Firmen-Kfz, Arbeitsgeräte oder Arbeitskleidung mit Firmenlogo) wahrgenommen worden. Einer der Bauleiter habe an",; 32006L0112 Mehrwertsteuersystem-RL Art226; 62016CJ0374 Geissel VORAB; UStG 1994 §11 Abs1; UStG 1994 §12 Abs1
