id,answer
CORP-TAX-001,"Die Steuerbemessungsgrundlage für die Körperschaftsteuer in Österreich ist der wirtschaftliche Ertrag der Gesellschaft. (Richtlinie für die Berechnung der Körperschaftsteuer, § 1 Abs 1 KStG)"
CORP-TAX-002,"Die Vergabe eines zinslosen Darlehens einer Körperschaft an ihren Gesellschafter kann als ungünstige Fremdfinanzierung gewertet werden und kann demnach im Rahmen der Einkommensteuer (Körperschaftsteuer) als unzulässige Ausgabe im Sinne des § 1 Abs 1 KStG angesehen werden. Daraus resultieren möglicherweise Steuerfolgen, wie z.B. Steuervermeidung für die Gesellschafter oder Steueraufwand für die Körperschaft. Es empfehlen sich eine genaue Prüfung der Tatsachen und ggf. eine Beratung durch Steuerberater."
CORP-TAX-003,"Körperschaften, die ihren Sitz in Österreich haben und Gewerbebetrieb betreiben, müssen gemäß Steuerrecht sämtliche Einkünfte, einschließlich der aus nicht-gewerblichen Tätigkeiten, den Einkünften aus Gewerbebetrieb zurechnen. (Rechtsquelle: Allgemeine Steuerverordnung, § 1 Abs 1 Zusatz S 1)"
CORP-TAX-004,"(a) Bei der österreichischen Tochtergesellschaft wird eine Dividende, die sie erhält, als Einkommen aus Kapitalvermögen behandelt und entsprechend mit der Dividendensplittingsteuer (Gesamteinkommensteuer) versteuert. (b) Bei der österreichischen Muttergesellschaft wird die ausgezahlte Dividende als Ausgabe aus Kapitalvermögen behandelt und absetzbar gegen die Steuereinkünfte aus dem Einkünftesteuergesetz (KStG).

(Note: This answer assumes that both the Austrian daughter and mother companies are resident in Austria for tax purposes.)"
CORP-TAX-005,"Offene Ausschüttungen werden in der Regel direkt steuerlich meldepflichtig und verrechnet, während verdeckte Ausschüttungen in der Regel nicht unmittelbar steuerlich erfasst werden. Die Steuerpflichtigkeit der Empfängerin tritt erst bei der Verwertung des erhaltenen Werts ein. (Rechtsquelle: Abgrenzung offene/verdeckte Ausschüttungen im österreichischen Steuerrecht)

(Note: This answer is based on the general principles of Austrian tax law and may not apply to all specific factual situations. For precise information, please consult a tax advisor or the relevant legal provisions.)"
CORP-TAX-006,"Der maximale Verlustabzug in einem Veranlagungsjahr beträgt in der Regel das Dreifache des jährlichen Einkommens (§ 32 Abs 1 KStG). Ausnahmen bestehen für bestimmte Berufe (z.B. Landwirtschaft, § 32 Abs 2 KStG) oder bei bestimmten Steuern (z.B. Erbschaftsteuer, § 24 Abs 1 KStG).

(Note: This answer is based on the current Austrian tax law and may be subject to change. For specific advice, please consult a tax professional.)"
CORP-TAX-007,"Ein Mantelkauf bezeichnet in österreichischem Steuerrecht den Verkauf von Aktien oder Anteilen an Gesellschaften, die hauptsächlich im Ausland tätig sind. Die Steuerfolge ist, dass der Verkaufserlös als Auslandssteuerobjekt behandelt wird und demnach nicht dem normalen Kapitalertragsteuergesetz unterliegt, sondern dem Auslandssteuersatz angewendet wird, der in der Regel niedriger ist. (Rechtsquelle: § 1 Abs 11 KStG in Verbindung mit § 1 Abs 1 AusfKStG)"
CORP-TAX-008,"Der Forderungsverzicht eines Gesellschafters gegenüber einer Gesellschaft mit beschränkter Haftung (GmbH) kann Steueraspekte berücksichtigen:

1. Der Verzicht kann als Kapitalabschreibung behandelt werden, wenn er mit der Beteiligungskapitalabschreibung übereinstimmt.
2. Andernfalls kann der Verzicht als Ausgabe aus der Gesellschaft betrachtet werden, die mit dem Ertrag verrechnet wird.
3. Die Steuerfolgen sollten im Rahmen des jeweiligen Steuerberatungsvertrags mit dem Finanzamt abgesprochen werden.

(Hinweis: Die genauen Regelungen variieren je nach konkreter Situation und können von der Rechtsform der Gesellschaft abhängen. Es emp"
CORP-TAX-009,"In Österreich existiert keine allgemeine Regelung für die Verlustverrechnung zwischen ausländischen und inländischen Gruppenmitgliedern im Steuerrecht. Die Regelungen für die Verlustverrechnung zwischen Unternehmensbeteiligungen hängen von der Art der Beteiligung und dem jeweiligen Staatsrecht ab.

Für inländische Beteiligungen gilt die Regelung des § 12a EStG, wonach Verluste aus einer Beteiligung an einer in Österreich ansässigen Gesellschaft in der Steuerperiode, in der die Beteiligung erworben wurde, bis zur Erreichung der Beteiligungsmehrheit abgesetzt werden können.

Für ausländische Beteiligungen gelten in der Regel andere Regelungen"
CORP-TAX-010,"Ja, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern können im österreichischen Steuerrecht steuerpflichtig sein, wenn es sich um Faktura- oder Abwicklungsverbindlichkeiten handelt (z.B. nach § 12 Abs 1 KStG). Anderenfalls sind sie nicht steuerpflichtig. (Nach § 12 Abs 2 KStG können bestimmte Gruppenverbindlichkeiten aus Steuergrunden ignoriert werden.)"
