id,instruction,input,output
JWR_2020150004_20201207L01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Bei der Revisionswerberin, einer Gesellschaft mit beschränkter Haftung, die mit Erklärung über die Errichtung der Gesellschaft vom 14. Februar 2006 von der O Privatstiftung als deren 100 %iger Gesellschafterin gegründet wurde, fand eine den Zeitraum März bis Dezember 2007 betreffende Umsatzsteuerprüfung statt. Der Prüfer stellte fest, die Revisionswerberin habe auf einem in anspruchsvoller Grün- und Hanglage befindlichen Grundstück in der Stadt G ein besonders repräsentatives Einfamilienhaus errichtet. Eine Fläche im Ausmaß von ca. 250 m² des Hauses sei an Nikolaus O, den Stifter der O Privatstiftung und Geschäftsführer der Revisionswerberin, vermietet worden. Die verbleibende Fläche von ca. 60 m² habe die O GmbH, eine weitere Tochter der O Privatstiftung, deren Geschäftsführer ebenfalls Nikolaus O sei, angemietet. Das Vorbringen der Revisionswerberin, bei dem Einfamilienhaus handle es sich grundsätzlich um ein Gebäude mit vier getrennt vermietbaren Wohneinheiten, sei nicht nachvollziehbar, weil schon aufgrund des Einreichplanes und der baubehördlichen Abwicklung von einem Einfamilienhaus auszugehen sei. Der Eindruck eines Einfamilienhauses „(bietend eine im Innenbereich räumlich und architektonisch großzügig angelegte Wohneinheit mit der Besonderheit eines offensichtlich eingeplanten Bürobereichs im Untergeschoß des Gebäudes, im Außenbereich als Besonderheit bietend ein Schwimmbecken im Ausmaß von ca. 12 x 3,5 m und Holzterrassen und Freitreppen in der steilhangigen Außenlage)“ habe sich auch bei der Objektbesichtigung bestätigt. Der Umbau des Einfamilienhauses in drei bis vier getrennt vermietbare Wohneinheiten sei theoretisch möglich, nach den derzeitigen Verhältnissen aber nicht reell. Auch in Bezug auf die erforderlichen Investitionen stelle sich das Objekt als außergewöhnlich dar, zumal die Aufwendungen für den Grund und Boden ca. 550.000 € und jene für das Gebäude zumindest ca. 850.000 € betragen hätten. 2 Das Objekt sei nach Ansicht des Prüfers in",32006L0112 Mehrwertsteuersystem-RL Art117 Abs2; 32006L0112 Mehrwertsteuersystem-RL Art168a Abs1; 61994CJ0230 Renate Enkler VORAB; BAO §115 Abs1; EStG 1988 §2 Abs3; EStG 1988 §20 Abs1 Z2 lita; EStG 1988 §28; KStG 1988 §8 Abs2; UStG 1994 §10; UStG 1994 §12 Abs10; UStG 1994 §12 Abs2 Z2 lita; UStG 1994 §2 Abs1; UStG 1994 §4 Abs9
JWR_2019150162_20201127L04,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Die Revisionswerberin ist - wie sich aus den (teilweise dislozierten) Feststellungen des Bundesfinanzgerichts (BFG) in Übereinstimmung mit den Revisionsausführungen zum Sachverhalt ergibt - die österreichische Handelsgesellschaft eines Konzerns. Im Zuge einer Konzernrestrukturierung wurde aus der in Österreich ansässigen Vorgängergesellschaft mit Spaltungsstichtag 31. März 2007 zunächst der Immobilienbereich vom „Handelsbetrieb/Marken“ und sodann zum Stichtag 30. September 2007 von diesem der revisionsgegenständliche Handelsbetrieb abgespalten. Die Markenrechte verblieben bei der bisherigen Gesellschaft, der nunmehrigen M GmbH. 2 Mit 25. September 2007 überführte die M GmbH sämtliche Markenrechte in eine im selben Jahr errichtete Betriebsstätte in Malta, wohin sie mit 15. Jänner 2008 auch ihren Ort der Geschäftsleitung verlegte. 3 Zwischen der Revisionswerberin und der M GmbH wurden Lizenzverträge abgeschlossen, die die Revisionswerberin dazu berechtigen, gegen eine (umsatzabhängige) Lizenzgebühr die Marken der M GmbH für Werbe- und Marketingmaßnahmen im Zusammenhang mit dem operativen Geschäft zu verwenden. 4 Nach Durchführung einer Außenprüfung setzte das Finanzamt die Körperschaftsteuer für die Jahre 2008 und 2009 (neu) fest. Die Außenprüfung habe ergeben, dass die Lizenzentgelte gesamthaft der revisionswerbenden Gesellschaft als wirtschaftlicher Eigentümerin der Marken zuzurechnen seien, womit auch die von ihr geltend gemachten Lizenzzahlungen an die M GmbH steuerlich nicht anzuerkennen seien. Die Revisionswerberin habe die Markenrechte geschaffen, die im Zuge ihrer Abspaltung mit einem Gesamtwert von 383,5 Mio € bewertet worden seien; die Entscheidungen betreffend Verwendung, Kreation, Bewerbung und Lizenzierung der Markenrechte lägen weiterhin bei den Entscheidungsträgern der operativen revisionswerbenden Gesellschaft am österreichischen Konzernstandort. Die maltesische Geschäftsführung sei zwar zu Terminen mit Werbeagenturen in",KStG 1988 §8 Abs2
JWR_1997140026_20021217X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die Beschwerdeführerin war in den Streitjahren am Stammkapital der im Jahr 1987 gegründeten, den Altwarenhandel betreibenden und keine Gewinne ausschüttenden S GmbH zu 54 % und ihr Ehemann (idF nur: Ehemann) zu 46 % beteiligt. Aus ihrer Tätigkeit als alleinige Geschäftsführerin der S GmbH bezog die Beschwerdeführerin in den Streitjahren Einkünfte von rund 214.000 S und 355.000 S. Der Ehemann war in den Streitjahren für die S GmbH tätig, erhielt jedoch hiefür keine Vergütungen. Die S GmbH erklärte in den Streitjahren (steuerliche) Verluste von rund 255.000 S und 326.000 S. Die Beschwerdeführerin war in den Streitjahren am Stammkapital der im Jahr 1987 gegründeten, den Altwarenhandel betreibenden und keine Gewinne ausschüttenden S GmbH zu 54 % und ihr Ehemann in der Fassung nur: Ehemann) zu 46 % beteiligt. Aus ihrer Tätigkeit als alleinige Geschäftsführerin der S GmbH bezog die Beschwerdeführerin in den Streitjahren Einkünfte von rund 214.000 S und 355.000 Sitzung Der Ehemann war in den Streitjahren für die S GmbH tätig, erhielt jedoch hiefür keine Vergütungen. Die S GmbH erklärte in den Streitjahren (steuerliche) Verluste von rund 255.000 S und 326.000 S. Da der Verdacht bestand, die Beschwerdeführerin habe im Zusammenwirken mit dem Ehemann der S GmbH zurechenbare Ein- und Verkäufe von Altwaren nicht verbucht, führte die Finanzstrafbehörde sowohl in den Wohnungen der Beschwerdeführerin und des Ehemannes als auch in den Betriebsräumen der S GmbH Hausdurchsuchungen durch. Der Versuch der Beschwerdeführerin, während der laufenden Durchsuchung ""Schwarzaufzeichnungen"" zu verstecken bzw zu vernichten, scheiterte. Sowohl die ""Schwarzaufzeichnungen"" als auch andere Unterlagen, darunter Kontoauszüge eines Bankkontos des Ehemannes für den Zeitraum 27. Mai 1988 bis 11. September 1990 sowie ein vom Ehemann geführter Notizkalender 1990 wurden beschlagnahmt. Anlässlich der sodann bei der S GmbH durchgeführten Prüfung schätzte der Prüfer an Hand der Kontoauszüge und des Notizkalen",; BAO §119 Abs1; EStG 1972 §27 Abs1 Z1; EStG 1988 §27 Abs1 Z1; KStG 1966 §8 Abs1; KStG 1988 §8 Abs2
JWR_2001130225_20011219X02,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Im Beschwerdefall ist die Vorschreibung von Dienstgeberbeitrag zum Ausgleichsfonds für Familienbeihilfen samt Zuschlag für den Zeitraum der Jahre 1995 bis 2000 aus den dem zu 80 % an der beschwerdeführenden Partei beteiligten Gesellschafter Ing. Werner M. von der beschwerdeführenden Partei zugewendeten Beträgen allein im Umfang der Frage strittig, ob die vom betroffenen Gesellschafter bezogenen Beträge rechtlich als Einkünfte im Sinne des § 22 Z 2 Teilstrich 2 EStG 1988 zu qualifizieren waren. Handelsrechtlicher Geschäftsführer der beschwerdeführenden Gesellschaft war im Streitzeitraum Karl M., der zu den restlichen 20 % an der beschwerdeführenden Partei beteiligte Zwillingsbruder des Ing. Werner M. Im Beschwerdefall ist die Vorschreibung von Dienstgeberbeitrag zum Ausgleichsfonds für Familienbeihilfen samt Zuschlag für den Zeitraum der Jahre 1995 bis 2000 aus den dem zu 80 % an der beschwerdeführenden Partei beteiligten Gesellschafter Ing. Werner M. von der beschwerdeführenden Partei zugewendeten Beträgen allein im Umfang der Frage strittig, ob die vom betroffenen Gesellschafter bezogenen Beträge rechtlich als Einkünfte im Sinne des Paragraph 22, Ziffer 2, Teilstrich 2 EStG 1988 zu qualifizieren waren. Handelsrechtlicher Geschäftsführer der beschwerdeführenden Gesellschaft war im Streitzeitraum Karl M., der zu den restlichen 20 % an der beschwerdeführenden Partei beteiligte Zwillingsbruder des Ing. Werner M. Die beschwerdeführende Gesellschaft hatte einem gegen sie erlassenen Bescheid, in welchem das Finanzamt die dem Mehrheitsgesellschafter in den Jahren 1995 bis 2000 zugeflossenen Beträge dem Dienstgeberbeitrag unterzogen hatte, in ihrer Berufung entgegengesetzt, dass sich eine Abhängigkeit des ""Geschäftsführerbezuges"" des Mehrheitsgesellschafters ""vom Gewinn (besser von der Ertragskraft)"" der beschwerdeführenden Gesellschaft aus folgender leicht nachprüfbaren Berechnung ergebe: ""1995 Gewinn lt. KÖST-Bescheid (Beschwerdeführerin) S 1,142.615,00 Geschäftsführerbe",; BAO §115 Abs1; BAO §167 Abs2; EStG 1988 §27 Abs1 Z1 lita; KStG 1988 §22 Z2; KStG 1988 §8 Abs2
JWR_2021150017_20220505L01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Die Zweitrevisionswerberin, eine Körperschaft öffentlichen Rechts (in der Folge: Trägerkörperschaft), ist ein regionaler Tourismusverband, der am 24. November 2016 den Betrieb gewerblicher Art „Radweg X“ (in der Folge: Erstrevisionswerber) beim Finanzamt anmeldete. 2 In der Körperschaftsteuererklärung des Erstrevisionswerbers für das Jahr 2016 wurden Aufwendungen von 36.306,60 € und ein Verlust in dieser Höhe ausgewiesen. Das Finanzamt führte mit Bescheid vom 23. März 2017 eine erklärungsgemäße Veranlagung durch und setzte die Körperschaftsteuer (bei negativen Einkünften aus Gewerbebetrieb von 36.306,60 €) mit 0 € fest. 3 Im Zuge einer die Umsatzsteuer 2014 und 2015 sowie den Nachschauzeitraum 2016 und 2017 betreffenden Außenprüfung bei der Trägerkörperschaft gelangte die Prüferin zur Überzeugung, dass der vom Erstrevisionswerber betriebene Radweg den infrastrukturellen Einrichtungen zuzuordnen und im Hinblick auf dessen unentgeltliche Benutzung vom Vorsteuerabzug ausgeschlossen sei. Die Trägerkörperschaft habe in einer Stellungnahme nur auf mittelbare Einnahmen und die Umschichtung von Parkgebühren verwiesen. Tatsächlich sei der Radweg für jedermann jederzeit uneingeschränkt benutzbar und könne als - der Allgemeinheit unentgeltlich zur Verfügung stehende - Infrastruktur keinen Betrieb gewerblicher Art darstellen. 4 Unter Bezugnahme auf den Bericht über das Ergebnis der Außenprüfung und die dort getroffenen Feststellungen nahm das Finanzamt mit Bescheid vom 2. Juni 2017 das Verfahren betreffend Körperschaftsteuer 2016 gegenüber dem Erstrevisionswerber wieder auf und erließ einen neuen Sachbescheid, in dem es die Einkünfte aus Gewerbebetrieb, das Einkommen und die Körperschaftsteuer mit 0 € festsetzte. 5 Der vom Erstrevisionswerber gegen diese Bescheide erhobenen Beschwerde gab das Finanzamt mit Beschwerdevorentscheidung keine Folge, woraufhin der Erstrevisionswerber die Vorlage der Beschwerde an das Bundesfinanzgericht beantragt",KStG 1988 §2
JWR_2017150044_20180627J01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Mit Notariatsakt vom 11. Dezember 2008 wurde nach den Feststellungen des Bundesfinanzgerichts von einer Körperschaft ihr Hotelbetrieb mit Einbringungsvertrag vom 11. Dezember 2008 in die neugegründete revisionswerbende GmbH unter Inanspruchnahme der Begünstigungen des Art. III UmgrStG zum Einbringungsstichtag 31. März 2008 eingebracht. 1 Mit Notariatsakt vom 11. Dezember 2008 wurde nach den Feststellungen des Bundesfinanzgerichts von einer Körperschaft ihr Hotelbetrieb mit Einbringungsvertrag vom 11. Dezember 2008 in die neugegründete revisionswerbende GmbH unter Inanspruchnahme der Begünstigungen des Artikel römisch drei, UmgrStG zum Einbringungsstichtag 31. März 2008 eingebracht. 2 In der am 28. August 2009 eingereichten Körperschaftsteuererklärung für das Jahr 2008 machte die Revisionswerberin einen Verlustabzug von 125.255,94 EUR geltend. 3 Mit Bescheid vom 25. November 2009 setzte das Finanzamt die Körperschaftsteuer 2008 fest, ohne den Verlustvortrag anzusetzen. Begründend führte es betreffend den Verlustabzug aus dem Rumpfwirtschaftsjahr der einbringenden Körperschaft 1.1.2008 bis 31.3.2008 aus, dass Verluste des Einbringenden, die bis zum Einbringungsstichtag (in diesem Fall: bis 31. März 2008) entstanden und bis zum Veranlagungszeitraum, in den der Einbringungsstichtag falle, nicht verrechnet seien, im Rahmen der Buchwerteinbringung ab ""dem dem Einbringungsstichtag folgenden Veranlagungszeitraum"" der ""übernehmenden"" Körperschaft insoweit als abzugsfähige Verluste dieser Körperschaft gälten, als sie dem übertragenen Vermögen im Sinne des § 12 Abs. 2 UmgrStG zugerechnet werden könnten. Gemäß § 21 UmgrStG könnten die Verluste bei der revisionswerbenden Gesellschaft somit erst im Veranlagungszeitraum 2009 und nicht im Veranlagungszeitraum für 2008 (1. April 2008 bis 31. Dezember 2008) geltend gemacht werden. 3 Mit Bescheid vom 25. November 2009 setzte das Finanzamt die Körperschaftsteuer 2008 fest, ohne den Verlustvortrag anzusetzen. Begründend führte es bet",; BAO §4 Abs2 lita Z2; EStG 1988 §2 Abs5; EStG 1988 §39 Abs1; KStG 1988 §24 Abs1; KStG 1988 §7 Abs5; UmgrStG 1991 §21 Z1
JWR_2005140005_20070516X02,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die Beschwerdeführerin ist eine Gesellschaft mit beschränkter Haftung. ZM ist alleiniger Gesellschafter und seit 29. Mai 1992 ihr Geschäftsführer. Betriebsgegenstand der Beschwerdeführerin ist die Verpachtung von Lokalen. Bei der Beschwerdeführerin fand eine Betriebsprüfung gem. § 147 BAO über den Zeitraum vom 1. Jänner 1999 bis 31. Dezember 1999 statt. Dabei wurde festgestellt, dass im Streitjahr eine Kaution in Höhe von 200.000 S aus einem Pachtvertrag mit der S-KEG als Pächterin, welche diese an die Beschwerdeführerin als Verpächterin zu zahlen hatte, in der Buchhaltung der Beschwerdeführerin nicht erfasst war. Die Kaution sei vom Gesellschafter-Geschäftsführer ZM in bar vereinnahmt und der Beschwerdeführerin nicht zugeführt worden. Bei der Beschwerdeführerin fand eine Betriebsprüfung gem. Paragraph 147, BAO über den Zeitraum vom 1. Jänner 1999 bis 31. Dezember 1999 statt. Dabei wurde festgestellt, dass im Streitjahr eine Kaution in Höhe von 200.000 S aus einem Pachtvertrag mit der S-KEG als Pächterin, welche diese an die Beschwerdeführerin als Verpächterin zu zahlen hatte, in der Buchhaltung der Beschwerdeführerin nicht erfasst war. Die Kaution sei vom Gesellschafter-Geschäftsführer ZM in bar vereinnahmt und der Beschwerdeführerin nicht zugeführt worden. Im Bericht gemäß § 150 BAO vom 25. April 2002 über das Ergebnis der Buch- und Betriebsprüfung wurde festgestellt, dass die Kaution der Beschwerdeführerin entzogen worden sei und dies eine verdeckte Ausschüttung an den Gesellschafter-Geschäftsführer darstelle, welche gem. § 93 EStG 1988 der Kapitalertragsteuer unterliege. Im Bericht gemäß Paragraph 150, BAO vom 25. April 2002 über das Ergebnis der Buch- und Betriebsprüfung wurde festgestellt, dass die Kaution der Beschwerdeführerin entzogen worden sei und dies eine verdeckte Ausschüttung an den Gesellschafter-Geschäftsführer darstelle, welche gem. Paragraph 93, EStG 1988 der Kapitalertragsteuer unterliege. Der Beschwerdeführerin wurde mit Haftungsbescheid vom 25",; EStG 1988 §27 Abs1 Z1 lita; EStG 1988 §93 Abs2 Z1 lita; KStG 1988 §8 Abs2
JWR_2000130208_20020423X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Alleingesellschafterin der beschwerdeführenden GmbH, die nach ihren Abgabenerklärungen den Handel mit Textilien betreibt, war seit 8. November 1991 Anna L; Geschäftsführer u.a. deren Ehemann Robert L. Im Zuge einer die Jahre 1991 bis 1993 umfassenden abgabenbehördlichen Prüfung wurde festgestellt, dass die Beschwerdeführerin vom Einzelunternehmen des Robert L zu überhöhten Preisen gekauft habe. Hintergrund sei gewesen, dass sich Robert L ab dem Jahr 1991 in Liquidationsengpässen befunden habe. Anna L habe deshalb im Jahr 1991 auch Kredite in Höhe von rund S 70,000.000,-- aufgenommen und dem Einzelunternehmen ihres Ehemannes zur Verfügung gestellt. Am 14. April 1992 sei das Konkursverfahren über das Einzelunternehmen des Robert L eröffnet worden. Im Einzelnen werden im Betriebsprüfungsbericht folgende Überfakturierungen aufgelistet: Rechnung vom 20. Dezember 1991 (näher angeführte Büroeinrichtung zu einem Pauschalpreis von S 348.000,-- brutto), 20. Dezember 1991 (Rundständer zu einem Preis von S 1,845.000,-- netto), 23. Dezember 1991 (vier Zuschnitttische, zwei Knopflochautomaten, eine Bügelanlage, sechs Nähmaschinen zu einem Nettopreis von S 1,800.000,--), 30. Dezember 1991 (näher bezeichnetes Büroinventar zu einem Pauschalpreis von S 450.000,-- netto), 31. Dezember 1991 (komplette Geschäftseinrichtung zu einem Bruttopreis von S 2,730.000,--), 28. Jänner 1992 (sieben Stoßmesser zu einem Einkaufspreis von S 251.212,32 netto), 21. Februar 1992 (zwei LKW zu einem Kaufpreis von S 500.000,--), 21. Februar 1992 (Einrichtung B-Straße zu einem Bruttopreis von S 350.000,--), 22. Februar 1992 (Tragtaschen zu einem Pauschalpreis von S 1,000.000,-- brutto). Die verrechneten Preise seien - wie im Betriebsprüfungsbericht zu den einzelnen Rechnungen näher erläutert - als überhöht anzusehen. In der festgestellten Differenz (rund S 5,9 Mio.) gegenüber fremdüblichen Preisen lägen verdeckte Gewinnausschüttungen an die Alleingesellschafterin Anna L vor. Umsatzsteuerlich führe die Anna",; KStG 1988 §8 Abs2
JWR_2001140135_20050726X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die Beschwerdeführerin wurde mit Notariatsakt vom 9. Oktober 1990 gegründet. Vom zur Hälfte einbezahlten Stammkapital von 500.000 S übernahmen die W. GmbH 480.000 S und Dipl.Vw. Helmut B. 20.000 S. Gegenstand des Unternehmens war der Verlag von periodischen und sonstigen Druckschriften. Geschäftsführer waren der Minderheitsgesellschafter Dipl.Vw. Helmut B. sowie der Angestellte Karl S. Die Beschwerdeführerin wurde mit Notariatsakt vom 9. Oktober 1990 gegründet. Vom zur Hälfte einbezahlten Stammkapital von 500.000 S übernahmen die W. GmbH 480.000 S und Dipl.Vw. Helmut B. 20.000 Sitzung Gegenstand des Unternehmens war der Verlag von periodischen und sonstigen Druckschriften. Geschäftsführer waren der Minderheitsgesellschafter Dipl.Vw. Helmut B. sowie der Angestellte Karl S. Mit Notariatsakt vom 23. Oktober 1992 verkaufte Dipl.Vw. Helmut B. seinen Geschäftsanteil an der Beschwerdeführerin der L. Holding GmbH (im Folgenden: L. Holding) um den Abtretungspreis von 10.000 S. Ebenfalls am 23. Oktober 1992 wurde der L. Holding die Option eingeräumt, die restlichen 96 % der Anteile zwischen 1. Juli 1996 und 30. Juni 1997 um einen Abtretungspreis von 15 % des einvernehmlich festzustellenden ""betriebswirtschaftlichen Eigenkapitals"", mindestens aber um 1 S und höchstens um 1,5 Mio. S, erwerben zu können. Zugleich ging die W. GmbH für die Dauer der Rechtswirksamkeit des Abtretungsanbotes die Verpflichtung ein, sich jedweder Verfügung über den Geschäftsanteil ohne Zustimmung der L. Holding zu enthalten. Ferner wurde in der am selben Tag abgehaltenen außerordentlichen Generalversammlung beschlossen, dass der (gesamte) Gesellschaftsgewinn für die Dauer von fünf Jahren ausschließlich der L. Holding zukommen solle. Mit Notariatsakt vom 23. Oktober 1992 verkaufte Dipl.Vw. Helmut B. seinen Geschäftsanteil an der Beschwerdeführerin der L. Holding GmbH (im Folgenden: L. Holding) um den Abtretungspreis von 10.000 Sitzung Ebenfalls am 23. Oktober 1992 wurde der L. Holding die Option einger",; BAO §22; KStG 1988 §8 Abs4 Z2 idF 1993/818
JWR_2020150113_20210317L01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Die revisionswerbende Partei ist - nach den Feststellungen des Bundesfinanzgerichts (BFG) - eine Aktiengesellschaft mit Sitz in Liechtenstein (in der Folge X FL). Sie ist (durch Verschmelzung) Rechtsnachfolgerin einer österreichischen GmbH (in der Folge X GmbH), die im Bereich des Investitionsgütermarketings tätig war. Strittig im Verfahren sind steuerliche Konsequenzen aus (behaupteten) Leistungen zwischen der X FL und der X GmbH in Bezug auf die Körperschaftsteuer der X GmbH. 2 Zur Vorgeschichte wird auf das hg. Erkenntnis vom 19. April 2018, Ra 2017/15/0041, verwiesen, mit dem der Verwaltungsgerichtshof das damals mit Amtsbeschwerde des Finanzamts angefochtene Erkenntnis des Bundesfinanzgerichts wegen Rechtswidrigkeit infolge Verletzung von Verfahrensvorschriften aufgehoben hat. Das zur Parteirevision anhängige Verfahren wurde daraufhin mit Beschluss vom 27. Juni 2018, Ra 2017/15/0040, als gegenstandslos eingestellt (vgl. ferner zu einem vorgelagerten Sicherstellungsverfahren in der Revisionssache VwGH 30.6.2015, 2012/15/0165 ). Zur Vorgeschichte wird auf das hg. Erkenntnis vom 19. April 2018, Ra 2017/15/0041, verwiesen, mit dem der Verwaltungsgerichtshof das damals mit Amtsbeschwerde des Finanzamts angefochtene Erkenntnis des Bundesfinanzgerichts wegen Rechtswidrigkeit infolge Verletzung von Verfahrensvorschriften aufgehoben hat. Das zur Parteirevision anhängige Verfahren wurde daraufhin mit Beschluss vom 27. Juni 2018, Ra 2017/15/0040, als gegenstandslos eingestellt vergleiche , ferner zu einem vorgelagerten Sicherstellungsverfahren in der Revisionssache VwGH 30.6.2015, 2012/15/0165 ). 3 Begründend führte der Verwaltungsgerichtshof im Erkenntnis vom 19. April 2018 aus, das BFG habe für eine Anerkennung der geltend gemachten Aufwendungen für die (behaupteten) Eingangsleistungen als Betriebsausgaben der X GmbH (konkret und detailliert) festzustellen, welche Leistungen die X FL an die X GmbH im Einzelnen erbracht habe. 4 Mit dem angefochten",EStG 1988 §4 Abs4; KStG 1988 §8 Abs2
