id,instruction
CORP-TAX-001,"Die Bemessungsgrundlage der Körperschaftsteuer ist das Einkommen der Körperschaft, das nach den Vorschriften des Einkommensteuergesetzes ermittelt wird und sich aus Einkünften aus Land- und Forstwirtschaft, Gewerbebetrieb, selbstständiger Arbeit, Kapitalvermögen, Vermietung und Verpachtung sowie sonstigen Einkünften zusammensetzt (§ 7 Abs 1 KStG 1988). Von diesem Einkommen werden Betriebsausgaben, Werbungskosten und Sonderausgaben abgezogen, wobei auch Körperschaftsteuer-spezifische Regelungen wie die Hinzurechnung bestimmter Aufwendungen zu beachten sind (§ 8 KStG 1988)."
CORP-TAX-002,"Ein zinslos vergebenes Darlehen an einen Gesellschafter führt zu einer verdeckten Gewinnausschüttung in Höhe des entgangenen Zinsertrags, die bei der Körperschaft als nicht abzugsfähige Betriebsausgabe behandelt wird und beim Gesellschafter als Einkünfte zu versteuern sind (§ 8 Abs 3 KStG 1988, § 1 Abs 1 EStG 1988). Die Höhe der verdeckten Gewinnausschüttung wird nach dem Ertragswertverfahren oder anhand vergleichbarer Marktzinssätze ermittelt (§ 8 Abs 3 KStG 1988)."
CORP-TAX-003,"Kapitalgesellschaften wie Aktiengesellschaften und Gesellschaften mit beschränkter Haftung sind verpflichtet, sämtliche Einkünfte ihren Einkünften aus Gewerbebetrieb zuzurechnen, da sie als Betriebsstätten behandelt werden und keine Unterscheidung nach Einkunftsarten vornehmen (§ 4 Abs 1 KStG 1988, § 7 Abs 1 KStG 1988)."
CORP-TAX-004,"Bei der Tochtergesellschaft ist die Gewinnausschüttung als Entnahme zu behandeln, die den Gewinn mindert und zur Körperschaftsteuer führt (§ 4 Abs 1, § 5 KStG 1988). Bei der Muttergesellschaft unterliegt die Dividende grundsätzlich der Körperschaftsteuer, es sei denn, es liegt eine Betriebsstättenbeteiligung vor und die Voraussetzungen der Schachtelprivilegierung sind erfüllt – dann ist die Dividende steuerfrei, sofern die Beteiligung mindestens 10 % beträgt und ein Jahr gehalten wurde (§ 10 KStG 1988)."
CORP-TAX-005,"Eine offene Ausschüttung ist eine explizite Gewinnverteilung, die zu einer Körperschaftsteuerbelastung führt und die Gewinne mindert, während eine verdeckte Ausschüttung eine wirtschaftliche Leistung an Gesellschafter ohne formale Ausschüttung darstellt, die ebenfalls körperschaftsteuerpflichtig ist, aber nicht zu einer Gewinnminderung führt und daher zu einer Doppelbelastung (Körperschaftsteuer + Einkommensteuer beim Empfänger) führen kann (§ 8 Abs 3 KStG 1988, § 1 Abs 1 KStG 1988)."
CORP-TAX-006,"Der Verlustabzug ist grundsätzlich unbegrenzt, soweit Einkünfte aus derselben Einkunftsart vorhanden sind (§ 2 Abs 5 EStG 1988). Eine Ausnahme bildet die Verlustabzugsbeschränkung bei Einkünften aus Kapitalvermögen, wo Verluste nur gegen Gewinne aus Kapitalvermögen verrechenbar sind (§ 2 Abs 5a EStG 1988), sowie die Regelung des § 4 Abs 6 EStG 1988, wonach Verluste aus Einkünften, die der Besteuerung entzogen sind, nicht abzugsfähig sind."
CORP-TAX-007,"Ein Mantelkauf ist der Erwerb einer Kapitalgesellschaft (GmbH, AG) primär wegen ihrer Rechtsform und Betriebsstätte, nicht wegen ihrer Betriebsmittel oder des laufenden Geschäftsbetriebs. Die steuerliche Konsequenz ist, dass die Finanzbehörde dies als Betriebsstättenwechsel einstufen kann, wodurch Verlustvorträge verfallen und eine Betriebsprüfung ausgelöst werden kann; zudem können verdeckte Gewinnausschüttungen oder Umstrukturierungen zu Nachzahlungen führen (§ 4 Abs 4a EStG 1988, § 8 Abs 3 KStG 1988, § 12 Abs 3 KStG 1988)."
CORP-TAX-008,"Ein Forderungsverzicht eines Gesellschafters führt zu einer verdeckten Gewinnausschüttung, die beim Gesellschafter als Einkünfte zu erfassen ist und die Betriebsausgaben der Körperschaft mindert, soweit der Verzicht nicht als Kapitaleinlage qualifiziert wird. Die Höhe der Betriebsausgabenkürzung entspricht dem Wert der verzichteten Forderung (§ 8 Abs 3 KStG 1988, § 4 Abs 1 EStG 1988)."
CORP-TAX-009,"Ausländische Gruppenmitglieder können ihre Verluste grundsätzlich nicht mit Gewinnen inländischer Gruppenmitglieder verrechnet werden, da die Gruppenbesteuerung nur auf inländische Betriebsstätten und österreichische Körperschaften anwendbar ist; inländische Gruppenmitglieder können hingegen ihre Verluste untereinander und mit der Muttergesellschaft verrechnen, sofern die Voraussetzungen der Gruppenbesteuerung erfüllt sind (§ 9 Abs 1 und 2 KStG 1988, § 9 Abs 5 KStG 1988)."
CORP-TAX-010,"Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind grundsätzlich nicht steuerpflichtig, da sie als innerbetriebliche Umverteilung von Steuerlasten zu qualifizieren sind und keine eigenständigen Leistungsentgelte darstellen. Dies gilt insbesondere bei der Körperschaftsteuer-Organschaft, wo die Umlage der Körperschaftsteuer vom Organträger auf die Organmitglieder nicht als steuerpflichtiger Umsatz behandelt wird (§ 9 Abs 1 KStG 1988, § 1 Abs 1 UStG 1994)."
