id,instruction,input,output
JWR_2019150007_20210610J01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Die revisionswerbende Gesellschaft ist - nach den Feststellungen des Bundesfinanzgerichts (BFG) - eine GmbH, deren Alleingesellschafterin eine Ordensgemeinschaft (Konvent) und Körperschaft öffentlichen Rechts ist. Gegenstand der am 16. Februar 2007 gegründeten revisionswerbenden Gesellschaft war laut Gesellschaftsvertrag im Wesentlichen der Betrieb von gemeinnützigen Gesellschaften, die Beteiligung an gemeinnützigen Gesellschaften im Rahmen des Gesundheitswesens, die Ausübung von gemeinnützigen Tätigkeiten auf diesem Gebiet sowie die Beratung und Geschäftsführung von gemeinnützigen Gesellschaften. Tatsächlich bestand die Tätigkeit der revisionswerbenden Gesellschaft bis 2010 im Halten der Beteiligungen an gemeinnützigen Krankenhausgesellschaften und einer diesbezüglichen Managementtätigkeit. 2 Die revisionswerbende Gesellschaft war ursprünglich auch selbst als gemeinnützige Gesellschaft konzipiert und beabsichtigte die Ausübung gemeinnütziger Tätigkeit, weshalb zunächst keine Körperschaftsteuererklärungen beim Finanzamt eingereicht wurden. 3 Parallel zur Gründung der revisionswerbenden Gesellschaft wurde im Jahr 2007 von der Ordensgemeinschaft als Alleingesellschafterin eine zweite Beteiligungsgesellschaft für Beteiligungen an nicht gemeinnützigen Gesellschaften gegründet, während in der Hand der revisionswerbenden Gesellschaft bis 2010 nur Beteiligungen an Gesellschaften im Zusammenhang mit der gemeinnützigen Tätigkeit des Konvents vereint waren. 4 Die Beteiligungen der revisionswerbenden Gesellschaft an gemeinnützigen Gesellschaften setzten sich ab 2007 insbesondere aus zwei Krankenhausbeteiligungen wie folgt zusammen: Mit Abtretungsvertrag vom 22. März 2007 erwarb die revisionswerbende Gesellschaft per 1. Juli 2007 gegen Zahlung eines Anerkennungspreises von 1 € vom Konvent eine 100%ige Beteiligung (eingezahltes Stammkapital 725.000 €) am Krankenhaus 1 (KH 1 GmbH), bei dem es sich um ein in Form einer gemeinnützigen GmbH betriebenes",EStG 1988 §4 Abs1; EStG 1988 §5; EStG 1988 §6; GmbHG §6; LiebhabereiV §1; LiebhabereiV §2
JWR_2004150001_20090422X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Im August 2000 langte beim Finanzamt F eine Kontrollmitteilung ein, laut welcher der Beschwerdeführer in den Jahren 1994 und 1995 von der in Deutschland ansässigen K GmbH, für Planungstätigkeiten und Bauüberwachungen insgesamt 182.820,00 DM erhalten habe. Da der in Österreich ansässige Beschwerdeführer im besagten Zeitraum und danach in Österreich steuerlich nicht erfasst war, wurde gegen diesen ein Finanzstrafverfahren eingeleitet und ein Hausdurchsuchungsbefehl erlassen. Bei der Hausdurchsuchung wurden Unterlagen des Beschwerdeführers beschlagnahmt, wobei dem Beschwerdeführer eine Auflistung der beschlagnahmten Unterlagen ausgehändigt wurde. Zudem wurde der Beschwerdeführer im Rahmen der Hausdurchsuchung einvernommen. Auf die Frage, ob es richtig sei, dass er in den Jahren 1994 bis 1996 selbständig für die K GmbH, Deutschland, tätig war, gab der Beschwerdeführer gegenüber der Finanzstrafbehörde erster Instanz an: ""Ja. Die Tätigkeit bezog sich sowohl auf Projekte in Deutschland als auch in Tschechien .... Zuvor war ich in den Jahren 1992 und 1993 in B (Anm: Ort in Österreich) unselbständig für die Fa. K tätig. ""Ja. Die Tätigkeit bezog sich sowohl auf Projekte in Deutschland als auch in Tschechien .... Zuvor war ich in den Jahren 1992 und 1993 in B Anmerkung, Ort in Österreich) unselbständig für die Fa. K tätig. In Tschechien hat es sich um ein einmaliges Projekt in R gehandelt. Soweit ich mich noch erinnern kann war die im Zeitraum Herbst 1994 bis Juli 1995. Ich bin in diesem Zeitraum jeweils von Montag bis Freitag in Tschechien anwesend. An den Wochenenden war ich meistens mit Ausnahme glaublich zwei mal immer hier in S (Anm: Wohnsitz des Beschwerdeführers in Österreich) In Tschechien hat es sich um ein einmaliges Projekt in R gehandelt. Soweit ich mich noch erinnern kann war die im Zeitraum Herbst 1994 bis Juli 1995. Ich bin in diesem Zeitraum jeweils von Montag bis Freitag in Tschechien anwesend. An den Wochenenden war ich meistens mit Ausnahme glaublich zwei",; EStG 1988 §47 Abs2
JWR_2008150335_20100520X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Mit dem im Instanzenzug ergangenen angefochtenen Bescheid wurde der Beschwerdeführer zur Einkommensteuer 2006 veranlagt. In der Begründung des Bescheides führte die belangte Behörde - soweit für die Beschwerde von Bedeutung - aus, der Beschwerdeführer habe begehrt, eine Zahlung an eine Bank auf Grund einer Bürgschaftsverpflichtung für eine GmbH als Werbungskosten in Ansatz zu bringen. Er habe eine Krediturkunde vom 22. März 1996 sowie einen Bürgschaftsvertrag vom 1. Februar 2001 vorgelegt, woraus sich die Haftung des Beschwerdeführers als Bürge und Zahler für die GmbH ergebe. Mit Konkurseröffnung der GmbH habe das Kreditinstitut den Kredit fällig gestellt. Es sei eine außergerichtliche Einigung mit der Bank gelungen, welche auch Voraussetzung für das in Aussicht gestellte Dienstverhältnis zur A. AG gewesen sei. Im Schriftsatz vom 6. November 2008 habe der Beschwerdeführer dazu vorgetragen, er sei die Bürgschaftsverpflichtung in der Absicht eingegangen, seine Einnahmen aus nichtselbständiger Arbeit bei der GmbH zu sichern. Seine Beteiligung an dieser Gesellschaft in Höhe von 15 % sei von so untergeordneter Bedeutung, dass diese auf die Qualifizierung der Bürgschaftszahlung als Werbungskosten keinen Einfluss haben könne. Im Erwägungsteil führte die belangte Behörde dazu aus, die Einkünfte des Beschwerdeführers von der GmbH ließen einen Werbungskostenabzug nicht zu, weil die Bürgschaftszahlungen durch die Beteiligung des Beschwerdeführers als Gesellschafter veranlasst seien. Abgesehen davon sei auch durch den Konkurs der GmbH die berufliche Veranlassung dieser Kosten verloren gegangen. Der Verwaltungsgerichtshof hat über die Beschwerde erwogen: Der Beschwerdeführer macht geltend, entscheidend sei die ""innere wirtschaftliche Verbindung"" zwischen der Übernahme der Bürgschaftsverpflichtung und dem zu diesem Zeitpunkt bestehenden Dienstverhältnis. Ob im Jahr der Bürgschaftszahlungen vom selben Dienstgeber noch Einkünfte vorlägen, sei für die steuerliche Beurteilung ohne B",; EStG 1988 §16; EStG 1988 §16 Abs1; EStG 1988 §4 Abs4
JWR_2006150238_20100520X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Beim Beschwerdeführer, einem Einzelunternehmer, der den Gewinn gemäß § 4 Abs. 3 EStG 1988 ermittelt, wurde eine abgabenbehördliche Prüfung betreffend die Jahre 1998 bis 2000 durchgeführt. Die Prüferin stellte u.a. fest, dass der Beschwerdeführer 1999 ein Grundstück erworben und 2000 ""in einen betriebsbereiten Zustand"" versetzt habe. Die dabei angefallenen Aufwendungen habe der Beschwerdeführer sofort als Betriebsausgaben abgesetzt, obwohl sie als anschaffungsnahe Aufwendungen auf Grund und Boden zu aktivieren seien. Beim Beschwerdeführer, einem Einzelunternehmer, der den Gewinn gemäß Paragraph 4, Absatz 3, EStG 1988 ermittelt, wurde eine abgabenbehördliche Prüfung betreffend die Jahre 1998 bis 2000 durchgeführt. Die Prüferin stellte u.a. fest, dass der Beschwerdeführer 1999 ein Grundstück erworben und 2000 ""in einen betriebsbereiten Zustand"" versetzt habe. Die dabei angefallenen Aufwendungen habe der Beschwerdeführer sofort als Betriebsausgaben abgesetzt, obwohl sie als anschaffungsnahe Aufwendungen auf Grund und Boden zu aktivieren seien. Die Prüferin stellte weiters fest, dass die Ehefrau des Beschwerdeführers vom 1. Jänner bis zum 26. Juli 2000 als Angestellte des Beschwerdeführers tätig gewesen sei. Die wöchentliche Arbeitszeit habe 15 Stunden betragen, der Bruttomonatslohn 8.500 S. Vom 27. Juli bis zum 30. November 2000 sei die Ehefrau arbeitslos gewesen. Am 1. Dezember 2000 habe sie der Beschwerdeführer wieder eingestellt, als Gehalt seien 22.000 S vereinbart worden. Mit 1. Jänner 2001 sei das Dienstverhältnis auf einen ""freien Dienstnehmervertrag mit 20 Wochenstunden und einem monatlichen Gesamtentgelt von 12.000 S"" geändert worden, nachdem die Ehefrau Ende Dezember 2000 eine Abfertigung von brutto 264.000 S (12 mal 22.000 S) erhalten habe. Die Prüferin stellte weiters fest, dass die Ehefrau des Beschwerdeführers vom 1. Jänner bis zum 26. Juli 2000 als Angestellte des Beschwerdeführers tätig gewesen sei. Die wöchentliche Arbeitszeit habe 15 Stunden betragen,",; EStG 1988 §4
JWR_2017150066_20181219L01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Der ursprünglich in den USA wohnhafte Revisionswerber wurde - nach den unbestrittenen Sachverhaltsfeststellungen des Bundesfinanzgerichts - von seinem kanadischen Arbeitgeber mit 1. April 2012 und voraussichtlicher Befristung bis 31. März 2015 nach Österreich entsandt. Mit Beginn seiner Entsendung gab er gemeinsam mit seiner Gattin und den vier Kindern (im Alter von damals 5, 7, 9 und 11 Jahren) den Wohnsitz in den USA auf und begründete einen neuen Wohnsitz in Österreich. Am 4. August 2014 verlegte er diesen Wohnsitz an eine nahe gelegene andere österreichische Adresse und behielt ihn jedenfalls bis Ende 2014 bei. 2 Die Kinder des Revisionswerbers besuchten eine internationale Schule mit englischer Unterrichtssprache, die öffentlich geführt wird, und unmittelbar am ersten Wohnort des Revisionswerbers liegt. Vom zweiten Wohnort betrug die Entfernung zur Schule je nach Fahrtstrecke zwischen neun und elf Kilometern, wobei die Fahrzeit zwischen Wohnsitz und Schule in jedem Fall bei Hin- und Rückfahrt weniger als eine Stunde dauerte. 3 Die Finanzierung von Leistungen der Schule, die über das Budget des Schulerhalters hinausgingen, erfolgte einerseits mit Sponsorengeldern und andererseits mit jährlichen Elternbeiträgen, die an den hierfür gegründeten Unterstützungsverein zu zahlen waren. Damit wurden insbesondere Bücher, Lernmaterialien, Ausflüge, Exkursionen und Tutorenleistungen für die Schülerinnen und Schüler bezahlt. Der dem Revisionswerber für das Jahr 2012 vorgeschriebene Vereinsbeitrag belief sich auf 1.990 EUR, wovon er als außergewöhnliche Belastung den Pauschalbetrag für auswärtige Berufsausbildung iHv 110 EUR monatlich je Kind steuerlich geltend machte. 4 Das Finanzamt führte die Veranlagungen für die Jahre 2012 und 2013 zunächst erklärungsgemäß durch und anerkannte die Pauschalbeträge für auswärtige Berufsausbildung für die Kinder. Im Rahmen einer Wiederaufnahme des Verfahrens erließ es neue Sachbescheide, mit welchen die Pauschalbeträge nicht mehr anerka",; EStG 1988 §34 Abs8
JWR_2004130175_20080709X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Die beschwerdeführende Aktiengesellschaft (Beschwerdeführerin) ist ein Kreditinstitut und war im Streitzeitraum kuponauszahlende Stelle (§ 95 Abs. 3 Z 2 EStG 1988) für so genannte Nullkuponanleihen (Zero Bonds). Die beschwerdeführende Aktiengesellschaft (Beschwerdeführerin) ist ein Kreditinstitut und war im Streitzeitraum kuponauszahlende Stelle (Paragraph 95, Absatz 3, Ziffer 2, EStG 1988) für so genannte Nullkuponanleihen (Zero Bonds). In der Niederschrift vom 22. Mai 2001 über das Ergebnis einer bei der Beschwerdeführerin für den Zeitraum Jänner 1999 bis Oktober 2000 durchgeführten abgabenbehördlichen Prüfung hielt die Prüferin fest, für die Berechnung der Stückzinsen für hochverzinste und langfristige Nullkuponanleihen in polnischen Zloty und südafrikanischen Rand und die daraus abgeleitete Kapitalertragsteuergutschrift sei die ""vereinfachende Ermittlungsmethode gemäß Punkt 5.1 des Erlasses des BM f. Finanzen vom 12. Februar 1993, Z 14 602/1/1-IV/14/93 nicht anwendbar, da das Ergebnis unverhältnismäßig von der finanzmathematischen Ermittlung abweicht."" Die von der Beschwerdeführerin ""ermittelten und daraus resultierenden"" Kapitalertragsteuergutschriften seien daher im folgenden Ausmaß nicht anzuerkennen: In der Niederschrift vom 22. Mai 2001 über das Ergebnis einer bei der Beschwerdeführerin für den Zeitraum Jänner 1999 bis Oktober 2000 durchgeführten abgabenbehördlichen Prüfung hielt die Prüferin fest, für die Berechnung der Stückzinsen für hochverzinste und langfristige Nullkuponanleihen in polnischen Zloty und südafrikanischen Rand und die daraus abgeleitete Kapitalertragsteuergutschrift sei die ""vereinfachende Ermittlungsmethode gemäß Punkt 5.1 des Erlasses des BM f. Finanzen vom 12. Februar 1993, Ziffer 14, 602/1/1-IV/14/93 nicht anwendbar, da das Ergebnis unverhältnismäßig von der finanzmathematischen Ermittlung abweicht."" Die von der Beschwerdeführerin ""ermittelten und daraus resultierenden"" Kapitalertragsteuergutschriften seien daher im folgenden Ausmaß",; B-VG Art130 Abs2; BAO §224; EStG 1988 §100; EStG 1988 §82; EStG 1988 §93; EStG 1988 §95; EStG 1988 §95 Abs2; EStG 1988 §99; VwGG §41 Abs1; VwRallg
JWR_2020150020_20220929L01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Die Revisionswerberin ist eine 1981 gegründete Kommanditgesellschaft, die eine öffentliche Apotheke betreibt. Kommanditistin war seit 2009 die (vor 2007 gegründete) A Beteiligungs AG, eine Mittelstandsfinanzierungsgesellschaft (im Folgenden: Kapitalgesellschaft oder Kommanditistin), die in den Jahren vor 2014 gemäß § 5 Z 14 iVm § 6b KStG 1988 steuerbefreit war; Komplementär war der Apotheker Mag. L. Die Kapitalgesellschaft hatte ihre Beteiligung - sie entspricht einer 49%igen Beteiligung am Vermögen der KG - im Jahr 2009 entgeltlich durch einen „Anteilskaufvertrag“ erworben; der von ihr entrichtete Kaufpreis von ca 940.000 € entfiel ua auf die Apothekenkonzession sowie weiters - mit einem Betrag von 704.946,59 € - auf einen Firmenwert. Die Revisionswerberin ist eine 1981 gegründete Kommanditgesellschaft, die eine öffentliche Apotheke betreibt. Kommanditistin war seit 2009 die (vor 2007 gegründete) A Beteiligungs AG, eine Mittelstandsfinanzierungsgesellschaft (im Folgenden: Kapitalgesellschaft oder Kommanditistin), die in den Jahren vor 2014 gemäß Paragraph 5, Ziffer 14, in Verbindung mit Paragraph 6 b, KStG 1988 steuerbefreit war; Komplementär war der Apotheker Mag. L. Die Kapitalgesellschaft hatte ihre Beteiligung - sie entspricht einer 49%igen Beteiligung am Vermögen der KG - im Jahr 2009 entgeltlich durch einen „Anteilskaufvertrag“ erworben; der von ihr entrichtete Kaufpreis von ca 940.000 € entfiel ua auf die Apothekenkonzession sowie weiters - mit einem Betrag von 704.946,59 € - auf einen Firmenwert. 2 Die revisionswerbende KG stellte am 15. Dezember 2015 den auf § 299 BAO gestützten Antrag auf Aufhebung des Bescheides über die Feststellung von Einkünften gemäß § 188 BAO für 2014 vom 2. Juni 2015. Sie führte zur Begründung aus, die Steuerbefreiung ihrer Kommanditistin, der Kapitalgesellschaft, habe mit Ablauf des Jahres 2013 ihr Ende gefunden. Gemäß § 18 Abs. 2 KStG 1988 müsse eine Körperschaft, die von der Steuerbefreiung zur Steuerpflicht wechsle, auf den",ApG 1907 §12; BAO §188; BAO §192; BewG 1955 §10 Abs2; BewG 1955 §12; EStG 1988 §4; EStG 1988 §4 Abs2 Z2; EStG 1988 §6; EStG 1988 §6 Z1; EStG 1988 §6 Z2; KStG 1988; KStG 1988 §18 Abs2; UGB; VwRallg
JWR_2012130118_20141028X01,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"Mit Haftungs- und Abgabenbescheiden vom 23. Juni 2009 wurde die (Rechtsvorgängerin der) M AG für die Jahre 2005 bis 2008 als Arbeitgeber für die Einbehaltung und Abfuhr der vom Arbeitslohn einzubehaltenden Lohnsteuer in Anspruch genommen; weiters wurden ihr der Dienstgeberbeitrag zum Ausgleichsfonds für Familienbeihilfen und der Zuschlag zum Dienstgeberbeitrag vorgeschrieben; schließlich wurden Säumniszuschläge festgesetzt. Begründend wurde auf den Bericht über das Ergebnis einer Außenprüfung verwiesen. In diesem Bericht war festgestellt worden, dass die (Rechtsvorgängerin der) M AG als Arbeitgeber Prämien zu freiwilligen Pensionsversicherungen bezahlt habe. Auf Grund der vertraglich unwiderruflich zugesicherten Möglichkeiten habe der Arbeitnehmer eine Rechtsstellung, die sich nicht von den Fällen unterscheide, in denen der Arbeitnehmer direkt sein (versteuertes) Einkommen verwende, um in einen Versicherungsvertrag einzuzahlen. Die Prämien seien demnach als steuerpflichtige Einkünfte aus nichtselbständiger Arbeit anzusehen. Die M AG erhob gegen diese Bescheide Berufung, welcher die Beschwerdeführer, diese sind Dienstnehmer der M AG, beigetreten sind. Mit dem angefochtenen Bescheid wies die belangte Behörde die Berufung als unbegründet ab. Nach Wiedergabe des Verwaltungsgeschehens führte die belangte Behörde im Wesentlichen aus, die (Rechtsvorgängerin der) M AG habe im Rahmen eines so genannten ""Management-Vorsorge-Plans"" (MVP) mit Wirksamkeit vom 1. Oktober 2004 mit der X Versicherung AG auf das Leben der teilnehmenden Arbeitnehmer (versicherte Personen) Rentenversicherungsverträge mit Kapitalwahlrecht abgeschlossen. Versicherungsnehmer und Begünstigter aus diesen Verträgen sei die M AG. Die Finanzierung der Versicherungen sei in der Weise erfolgt, dass mit den Arbeitnehmern ""Verschlechterungsvereinbarungen"" abgeschlossen worden seien. Mit diesen seien die jeweiligen Jahresgehälter um einen genau bestimmten Betrag reduziert worden. Der jeweilige Reduktionsbetrag se",; EStG 1988 §15 Abs1; EStG 1988 §19 Abs1; EStG 1988 §25 Abs1 Z1 lita; VersVG §166 Abs1
JWR_2016160097_20171019L02,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"1 Mit dem angefochtenen Erkenntnis zog das Bundesfinanzgericht den Revisionswerber im Instanzenzug gemäß §§ 9 und 80 BAO zur Haftung für Abgabenschulden der R. GmbH heran und sprach aus, dass eine Revision nach Art. 133 Abs. 4 B-VG nicht zulässig sei. 1 Mit dem angefochtenen Erkenntnis zog das Bundesfinanzgericht den Revisionswerber im Instanzenzug gemäß Paragraphen 9, und 80 BAO zur Haftung für Abgabenschulden der R. GmbH heran und sprach aus, dass eine Revision nach Artikel 133, Absatz 4, B-VG nicht zulässig sei. 2 Die R. GmbH habe im Jänner 2009 Löhne, Gehälter, Leasingraten für den Fuhrpark und verschiedene Zug-um-Zug-Zahlungen angewiesen, sei ""im Laufe des Monates Jänner 2009 wohl endgültig zahlungsunfähig"" geworden und ""ab Ende Jänner 2009 zahlungsunfähig"" gewesen. Der Revisionswerber sei vom 5. Juli 2007 bis 19. März 2009 als selbständig vertretungsbefugter Geschäftsführer der R. GmbH eingetragen gewesen. Am 30. März 2009 sei das Insolvenzverfahren über die R. GmbH eröffnet worden. 3 Die Abgabenschuldigkeiten der R. GmbH, zu welchen der Revisionswerber zur Haftung herangezogen wurde, betrafen u.a. die Umsatzsteuer für Oktober 2008 und die Lohnsteuer für Jänner 2009 mit zwei jeweils näher angeführten Beträgen. 4 Zur Umsatzsteuer für Oktober 2008 hielt das Bundesfinanzgericht fest, diese resultiere aus einem Auftrag der W. GmbH zur Errichtung einer Vordachkonstruktion im Jahr 2008. Das Anbot habe die Anbotssumme samt Umsatzsteuer ausgewiesen und sei an die W. GmbH und den Revisionswerber persönlich, der damals auch alleinig selbständig vertretungsbefugter Geschäftsführer der W. GmbH gewesen sei, gerichtet gewesen. Dem Einwand des Revisionswerbers, dass kein Schaden entstanden sei, hielt das Bundesfinanzgericht entgegen, dass die insolvente R. GmbH infolge der unrichtigen Rechnungslegung (ohne Umsatzsteuer) Abgaben in Höhe von rund 38.485,82 EUR verkürzt entrichtet habe. 5 Die R. GmbH habe im Jänner 2009 noch Löhne ausbezahlt, die darauf entfallende Lohnsteuer",; BAO §80; BAO §80 Abs1; BAO §9; BAO §9 Abs1; EStG 1988 §78 Abs3
JWR_2006130123_20081001X04,Analysiere den folgenden steuerrechtlichen Sachverhalt und nenne die relevanten österreichischen Paragraphen.,"In den von der belangten Behörde vorgelegten Verwaltungsakten liegt eine als ""Einkommensteuerbescheid 2003"" bezeichnete Erledigung des Finanzamtes vom 7. Juli 2005 ein, die wie folgt adressiert ist: ""Dkfm. B. Eva u Mitbes f B. D"" z.H. Dkfm. B. Eva. In dieser Erledigung sind zur Berechnung der Einkommensteuer für das Jahr 2003 Einkünfte aus selbständiger Arbeit in Höhe von 473.137,54 EUR, Einkünfte aus nichtselbstständiger Arbeit von 9.013 EUR und Einkünfte aus Vermietung und Verpachtung von 167,18 EUR ausgewiesen. Die festgesetzte Einkommensteuer betrug insgesamt 82.721,36 EUR. Der Erledigung ist eine gesonderte Bescheidbegründung angeschlossen, die an die ""Verlassenschaft nach Dr. Dieter B."" (Zustellbevollmächtigte: Dkfm. B. Eva) adressiert ist. In der Bescheidbegründung wird ausgeführt, gemäß § 38 EStG könnten Einkünfte aus der Verwertung patentrechtlich geschützter Erfindungen mit dem ermäßigten Steuersatz für außerordentliche Einkünfte besteuert werden. Deshalb seien auf Antrag die laufenden Gewinne in Höhe von 68.694,05 EUR aus dem Betriebsgewinn ausgeschieden und als Einkünfte gemäß § 38 EStG dem halben Durchschnittssteuersatz unterzogen worden. Die restlichen Einkünfte in Höhe von 404.443,49 EUR seien antragsgemäß als außerordentliche Einkünfte (Veräußerungs- bzw. Übergangsgewinn) gemäß § 37 Abs. 1 iVm Abs. 5 EStG behandelt worden, weil ""der Betrieb deswegen veräußert wurde, weil der Steuerpflichtige gestorben ist und die sonstigen Voraussetzungen des § 37 Abs. 5 EStG erfüllt sind"". Eine nochmalige Begünstigung gemäß § 38 EStG der ""Veräußerungsgewinne bzw. Übergangsgewinne - wie von Ihnen durch Geltendmachung des 'Viertelsteuersatzes' beantragt - hatte jedoch nicht zu erfolgen, da die Begünstigung gem § 38 EStG nur für die Einkünfte aus der Verwertung (und auch der Veräußerung) der patentrechtlich geschützten Erfindung zusteht, nicht aber für die Veräußerung eines Betriebs, der der Verwertung dieser Erfindung dient"". In der Bescheidbegründung wird ausgeführt",; EStG 1988 §24; EStG 1988 §38 Abs1; EStG 1988 §4 Abs1; EStG 1988 §4 Abs3
