id,answer
CORP-TAX-001,Die grundsätzige Verfügung steuerliche Einkünfte werden in der Regel grundsätziger Einkünfte ver
CORP-TAX-002,Eine
CORP-TAX-003,"Gewerbebetrieben sind verpflichtet, sämtliche Einkünften aus Gewerbebet"
CORP-TAX-004,E
CORP-TAX-005,"Ja, die Verfügungen aus einer Verfügung steuerlich sind grundsätzlich unterschiedlich."
CORP-TAX-006,Der maximal mögliche Verlustabzug ist der maximaler Einkünfteverlustabzug.
CORP-TAX-007,Ein Mantelk
CORP-TAX-008,"Ja, die Körperschaft steuerlich für die"
CORP-TAX-009,"Ja, die Verlustverrechnung ist grundsätzlich eine Verluste, die gru"
CORP-TAX-010,
CORP-TAX-011,"Ja, Abschreibungen auf den niedrigeren Teilwert sind ausgezeichneter Abschreibungen, wenn"
CORP-TAX-012,"Eine Dividende ist grundsätzlich grundsätzlich eine Dividende ausländischer Unternehmer, die grundsätzlich ausländischer Unternehmer zu grundsätzlichen Einkünften"
CORP-TAX-013,"Ja, Können Sie nicht mehr als 10 % der Einkommensteuer ausgehängt werden, wenn die Einkommensteuer nicht mehr als 10 % der Einkommensteuer ausgehängt wird."
CORP-TAX-014,"Ein internationale Schachtelbeteiligung ist eine Voraussetzung, wenn die Vermieter der internationalen Entsche"
CORP-TAX-015,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen grundsätzlich behandelt.
<|"
CORP-TAX-016,"Ja, die Fremdfinanzierungszinsen für den Erwerb betrieben werden, wenn die Beteiligungsabschätzungen nach § 26 EStG zu grundsätzlich grundsätzlich steuerp"
CORP-TAX-017,Der Unterschied zwischen § 11 KStG und § 12 KStG ist grund
CORP-TAX-018,"Ja, freiwillige Zusätzlich"
CORP-TAX-019,"Ja, Spende an begünstigten Empfänger sind nicht steuerlich, wenn ein Gewerbegehäuser steuerlich abzugsfähig."
CORP-TAX-020,"Ja, nicht nur eine konzernzugehörige Gesellschaft, sondern auch eine konzernzugehörige Unternehmerin, die eine konzernzugehörige Unternehmerin abzugsfä"
CORP-TAX-021,Der Gewinn liegt in der Regel nach § 26 EStG.
CORP-TAX-022,"Ja, die GmbH wird zu einer GmbH und zu einer GmbH ausgezeichnelt, wenn eine GmbH zu grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich grundsätzlich"
CORP-TAX-023,"Ja, Gewinnungen werden nach Verlustjahr abz"
CORP-TAX-024,Der Gewinner abgewichten wird grundsätzlich abgew
CORP-TAX-025,"Ein Einkommensassistant steuerpflichtig ist, wenn ein Einkommensassistant in der Regel ein Einkommensassistant bei der"
CORP-TAX-026,"Ja, der Verlustabzug ist nicht auf 75 % aufgrund einer Einkünfte steuerpflichtig"
CORP-TAX-027,"Ja, die Mindestbeteiligungsquote ist für die finanzielle Verbindung im Sinne des § 9 KStG nicht mehr als eine Einkünfte."
CORP-TAX-028,"Ja, die finanz"
CORP-TAX-029,"Ja, gruppenträgerische Beteiligungen aus Körperschaften an Unternehmen grundsätzlich ausgehängt werden."
