id,answer
CORP-TAX-001,"Die steuerliche Bemessungsgrundlage für die Körperschaftsteuer ist das innerhalb eines Kalenderjahres bezogene Einkommen des unbeschränkt Steuerpflichtigen. Dieses Einkommen ergibt sich aus dem Gesamtbetrag der Einkünfte nach Ausgleich von Verlusten, Abzug von Sonderausgaben und bestimmten Freibeträgen, wobei die Ermittlung sich nach dem Einkommensteuergesetz und dem Körperschaftsteuergesetz richtet (§ 7 Abs. 1 und 2 KStG)."
CORP-TAX-002,Die Vergabe eines zinslosen Darlehens durch eine Körperschaft an ihren Gesellschafter kann zu einer verdeckten Gewinnausschüttung führen. Dies ist steuerlich als Einkünfte gemäß § 20 Abs. 1 Z 1 EStG zu behandeln. Der Gesellschafter hat somit Einkommensteuer zu entrichten.
CORP-TAX-003,"Das österreichische Steuerrecht sieht keine allgemeine Verpflichtung für Körperschaften vor, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen. Die Zuordnung von Einkünften zu bestimmten Kategorien richtet sich nach deren Art und der steuerlichen Behandlung des jeweiligen Rechtsträgers. § 5 Abs. 1 EStG 1988 regelt die Gewinnermittlung für rechnungslegungspflichtige Gewerbetreibende, ist aber keine allgemeine Zuordnungsnorm für alle Körperschaften."
CORP-TAX-004,"Bei der österreichischen Tochtergesellschaft ist eine Dividende grundsätzlich kein Aufwand und daher steuerlich nicht abzugsfähig. Bei der österreichischen Muttergesellschaft unterliegt die Dividende der Körperschaftsteuer, kann aber unter bestimmten Voraussetzungen steuerfrei gestellt werden, insbesondere im Rahmen der Beteiligungsertragsbefreiung gemäß § 10 KStG."
CORP-TAX-005,"Auf Ebene der ausschüttenden Körperschaft gibt es grundsätzlich keinen steuerlichen Unterschied zwischen offenen und verdeckten Ausschüttungen. Beide Formen mindern das steuerpflichtige Einkommen der Körperschaft, da sie als Verringerung des Eigenkapitals zu sehen sind. Eine Unterscheidung erfolgt in der Regel erst auf Empfängerseite bzw. bei der Ermittlung des Gewinnausschüttungsanspruchs."
CORP-TAX-006,Der Verlustabzug ist in einem Veranlagungsjahr nicht limitiert. Ausnahmen können sich aus der Berücksichtigung von steuerfreien Sanierungsgewinnen ergeben. Dies ist in § 117a Abs. 1 EStG 1988 geregelt.
CORP-TAX-007,"Ein Mantelkauf bezeichnet den Erwerb einer Gesellschaft, die über steuerliche Verlustvorträge verfügt. Durch den Erwerb der Gesellschaft kann der Käufer diese Verluste nutzen, um zukünftige Gewinne steuerlich zu mindern. Die einschlägige Rechtsnorm zur steuerlichen Behandlung von Verlusten, die durch Anteilsübertragung nicht untergehen, ist § 2 Abs. 2 KStG."
CORP-TAX-008,"Bei einem Forderungsverzicht eines Gesellschafters ist der nicht mehr werthaltige Teil der Forderung steuerwirksam für die Körperschaft. Dies wird in § 8 Abs. 1 KStG 1988 geregelt. Diese Regelung soll sicherstellen, dass der Verzicht steuerlich als Vermögensabgang behandelt wird."
CORP-TAX-009,"Die Frage nach der Verlustverrechnung von ausländischen Gruppenmitgliedern im österreichischen Steuerrecht lässt sich anhand der bereitgestellten Gesetzestexte nicht abschließend beantworten. Die zur Verfügung stehenden Paragraphen (§ 25a UStG, § 98 EStG, § 6 KStG) behandeln spezifische Themen wie Sonderregelungen für Drittlandsunternehmer, Steuerbefreiungen für entsandte Arbeitnehmer oder Befreiungen für Pensionskassen und unterstützen keine Aussage zur Verlustverrechnung von Gruppenmitgliedern."
CORP-TAX-010,"Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern im Rahmen einer Unternehmensgruppe sind nach dem KStG 1988 grundsätzlich nicht steuerpflichtig. Dies liegt daran, dass die Einkünfte innerhalb der Unternehmensgruppe auf Ebene des Gruppenträgers zusammengeführt und dort besteuert werden, wie in § 9 Abs. 1 KStG 1988 dargelegt. Solche Umgliederungen stellen daher keine Einkünfte im Sinne des KStG dar."
