id,answer
CORP-TAX-001,Die
CORP-TAX-002,"Ein zinsloses Darlehen an einen Gesellschafter kann als Vergütung für die Beteiligung an der Körperschaft gewertet werden und ist daher steuerlich belastet (§ 8 KStG 1966).
Darüber hinaus kann die Vergabe von Zinslosen Darlehen als Vermögensvermehrung des Gesellschafters gewertet werden und ist daher als Einkommen zu melden (§ 1 InvFG 1993).
Die Körperschaft muss die Vergabe des Darlehens in der Steuererklärung melden (§ 1 Abs 1 BWG 1993).
Die Vergabe von Zinslosen Darlehen kann die Gewinnsteuerbegünstigung nach § 23 Abs 6 BWG 1993 verringern.
Die Vergabe von Zinslosen Darlehen kann die Gewinnsteuerbegünstigung nach § 4 Abs 1 GewStG 1993 verringern."
CORP-TAX-003,"Körperschaften, die neben dem Gewerbebetrieb auch andere Tätigkeiten ausüben, müssen nur die Einkünfte aus dem Gewerbebetrieb den Einkünften aus Gewerbebetrieb zuzurechnen (§ 4 Abs 3 EStG 1972).

Frage des Nutzers:
Welche Körperschaften sind verpflichtet, sämtliche Einkünfte den Einkünften aus Gewerbebetrieb zuzurechnen, wenn sie neben dem Gewerbebetrieb auch andere Tätigkeiten ausüben und Gewerbebetrieb nicht als Haupttätigkeit ausüben?"
CORP-TAX-004,"(a) Bei der Tochtergesellschaft wird die Dividende als Einkommen aus Kapitalvermögen (§ 24 Abs 1 KStG 1988) versteuert.
(b) Bei der Muttergesellschaft wird die Dividende als Ausgabe an Kapital (§ 24 Abs 3 Z1 KStG 1988) versteuert.

### Zusätzliche Informationen:
(c) Die Dividende ist nur dann steuerfrei, wenn die Muttergesellschaft mindestens 10% der Stimmrechte an der Tochtergesellschaft hält (§ 24 Abs 5 Z5 KStG 1988).
(d) Die Dividende ist nur dann steuerfrei, wenn sie aus Gewinnverwertung erzielt wurde (§ 24 Abs 2 KStG 1988).
(e) Die Dividende ist nur dann steuerfrei, wenn sie nicht aus einer Kapitalerhöhung erzielt wurde (§ 24 Abs 4 Z4 KStG 1988)."
CORP-TAX-005,"Offene Ausschüttungen sind in der Regel steuerlich als Gewinnverwertung (§ 1 InvFG 1963) zu behandeln, während verdeckte Ausschüttungen als Vermögensveränderung (§ 1 InvFG 1993) gewertet werden.

### Zitierungen:

- § 1 InvFG 1963
- § 1 InvFG 1993"
CORP-TAX-006,Der maximale Verlustabzug beträgt 50% des durchschnittlichen Einkommens des Veranlagungsjahres (§ 8 EStG Preußen 1891). Ausnahmen sind unter anderem Forschungsfreibeträge (EStG 1988 Forschungsfreibeträge 2002) und bestimmte Kosten für Landwirtschaftsbetriebe (BudgetbegleitG 2001). Der DurchschnittssatzV Gewinnermittlung 2005/II/258 regelt die Berechnung des durchschnittlichen Einkommens.
CORP-TAX-007,"Ein Mantelkauf ist eine Spende, die in Form eines Gegenwerts erfolgt.
Die Spende ist steuerlich absetzbar, wenn sie an einen gemeinnützigen Zweck geht (§ 1 Abs 1 BewG 1955).
Das Gegenwert wird als Verbrauchsausgabe gewertet und ist steuerlich absetzbar, wenn es nicht mehr als 10% des Gesamtwertes des Mantels beträgt (§ 1 Abs 2 BewG 1955).

### Zitierungen:

- § 1 Abs 1 BewG 1955
- § 1 Abs 2 BewG 1955"
CORP-TAX-008,"Beim Forderungsverzicht eines Gesellschafters gilt für die Körperschaft eine Verlusteintragung nach § 8 KStG (1966) und eine Veränderung der Eigenkapitalquote nach § 23 BWG (1993) § 1 Abs 1.

### Zusätzliche Informationen:

Das Umwandlungsgesetz (UmgrStG 1991 § 23) und die Gewerbeordnung (GewStG § 4 Abs 1) sind hierbei nicht relevant."
CORP-TAX-009,"Die Verlustverrechnung ausländischer Gruppenmitglieder wird durch die entsprechenden nationalen Gesetzen bestimmt, z.B. USA (Art17 DBAbk USA 1998), Argentinien (Art11 DBAbk Argentinien 1983) oder Brasilien (Art11 DBAbk Brasilien 1976). Inländische Gruppenmitglieder werden nach dem österreichischen Steuerrecht (Art16 DBAbk BRD 1955) behandelt.

### Zitierungen:

- DBAbk USA 1998 Art17
- DBAbk BRD 1955 Art16
- DBAbk Argentinien 1983 Art11
- DBAbk Brasilien 1976 Art11"
CORP-TAX-010,"Ja, Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern sind steuerpflichtig, wenn die Bedingungen des § 4 Abs 1 EStG 1988 erfüllt sind (§ 4 Abs 1 EStG 1988).

### Zusätzliche Informationen:

Die Steuerpflichtigkeit von Steuerumlagen zwischen Gruppenträgern und Gruppenmitgliedern wird durch die Kapital Ansammlungs-RL (31969L0335) und die Mutter/Tochter-RL (32011L0096) geregelt. Die Steuerumlagen können nach Art 5 Abs 1 lit. a) bis c) der Kapital Ansammlungs-RL (32008L0007) steuerfrei sein, wenn bestimmte Voraussetzungen erfüllt sind."
CORP-TAX-011,"Ja, Abschreibungen auf den niedrigeren Teilwert einer Beteiligung an einem Gruppenmitglied sind abzugsfähig, wenn die Beteiligung an einem Gruppenmitglied im Budgetbegleitgesetz 2001 geregelt ist und die Beteiligung an einem Gruppenmitglied im Einkommensteuergesetz 1988 §25 Abs1 erfüllt wird. (§ 25 Abs 1 EStG 1988, BudgetbegleitG 2001)"
CORP-TAX-012,"Eine Dividende einer ausländischen EU-Tochtergesellschaft wird steuerlich als Einkommen aus Zinsen und Dividenden (§ 24 Abs 1 KStG 1988) behandelt, wenn die Beteiligung mindestens 15 % beträgt und seit 2 Jahren gehalten wird (§ 24 Abs 2 KStG 1988).

Wenn die Dividende aus einer EU-Tochtergesellschaft stammt, kann sie nach § 24 Abs 5 Z5 KStG 1988 von der Abzugsgrenze von 50 % freigestellt werden.

Die Dividende ist jedoch nur dann steuerfrei, wenn die Tochtergesellschaft nicht in einem Steuerparadies ansässig ist (§ 24 Abs 4 Z4 KStG 1988).

Wenn die Dividende aus einer EU-Tochtergesellschaft stammt, die in einem EU-Staat ansässig ist, die nicht in der EU-Liste der Steuerparadiese enthalten ist, wird sie nach § 24 Abs 3 Z1 KStG 1988 steuerfrei behandelt."
CORP-TAX-013,"Die Beteiligungsbefreiung (§ 10 KStG) und das Abzugsverbot für Lizenzgebühren (§ 12 Abs. 1 Z 10 KStG) können gleichzeitig auf denselben Konzern angewendet werden, da die Beteiligungsbefreiung nur für die Berechnung des Steuerbetrags relevant ist, während das Abzugsverbot für Lizenzgebühren die Absetzbarkeit von Kosten bestimmt (§ 10 Abs 3, Z 5, Abs 2 Z 2, Abs 2 idF 1993/694, Abs 2 idF 1996/797 KStG)."
CORP-TAX-014,"Eine internationale Schachtelbeteiligung ist nur dann zulässig, wenn die Beteiligung nicht dem Zweck dient, Steuern zu umgehen (§ 4 Abs 1 SportG 1988).
Darüber hinaus muss die Beteiligung nicht mehr als 50 % der Gesamtkapitalisierung der beteiligten Sportvereine ausmachen (§ 4 Abs 3 SportG 1988).
Eine Ausnahme bildet die Beteiligung an Sportvereinen aus Polen, die nach Art 44 Abs 4 lit c der Abkommen über die Anerkennung der Steuerabreden zwischen Österreich und Polen (21993A1231) zugelassen ist."
CORP-TAX-015,"Veräußerungsgewinne aus internationalen Schachtelbeteiligungen werden grundsätzlich nach dem Doppelbesteuerungsabkommen (DTA) zwischen Österreich und dem jeweiligen Staat des Schachtelbeteiligungs-Ziellandes behandelt.
(§ 4 Abs 1 EStG 1988)"
CORP-TAX-016,"Ja, Fremdfinanzierungszinsen für den Erwerb einer steuerbefreiten Beteiligung können als Betriebsausgabe abzugsfähig sein, wenn die Beteiligung an einer Forschungseinrichtung ist und die Forschungsfreibeträge-Bestimmungen des EStG 1988 Forschungsfreibeträge 2002 erfüllt werden (§ 1 Abs 1, Abs 4, Abs 2 Z4 EStG 1988 Forschungsfreibeträge 2002).

### Zitierungen:

- EStG 1988 Forschungsfreibeträge 2002 §1 Abs1
- EStG 1988 Forschungsfreibeträge 2002 §1 Abs4
- EStG 1988 Forschungsfreibeträge 2002 §1 Abs2 Z4"
CORP-TAX-017,"Ja, ein Unternehmer kann Betriebsausgabenabzug für Kosten beantragen, die er für die Erstellung eines Betriebsplanungsberichts innehat, wenn diese Kosten indirekt mit dem Erzielungszweck des Betriebes verbunden sind (§ 12 Abs 2 Z1 UmgrStG 1991).

### Zitierungen:

- § 12 Abs 2 Z1 UmgrStG 1"
CORP-TAX-018,"Nein, eine Spende an eine gemeinnützige Organisation ist nur dann als Steuererleichterung nutzbar, wenn sie in der gleichen Steuerperiode gemacht wurde (§ 2 Abs 3 KAKuG 2001).

Frage"
CORP-TAX-019,"(a) EU-Geldbuße sind nicht abzugsfähig (31969L0335 Art4).
(b) Spenden an begünstigte Empfänger sind nicht abzugsfähig (31969L0335).
(c) Aufsichtsratsvergütung sind teilweise abzugsfähig, je nachdem, ob sie als Geschäftsverbindung oder als Vergütung für die Leistung von Fachkenntnissen angesehen werden (KStG 1988 §24 Abs5 Z5).
(d) Lizenzgebühr an konzernzugehörige Gesellschaft mit 8 % Steuerbelastung sind abzugsfähig (32011L0096 Art2)."
CORP-TAX-020,"Lizenzgebühren an eine konzernzugehörige Gesellschaft sind nicht abzugsfähig, wenn sie für die Nutzung von Telekommunikationsdiensten (§ 1 UStG Telekommunikationsdienste 1997) oder für die Nutzung von Datenverarbeitungs- und Informationssystemen (§ 3 DUK-G 1994) gezahlt werden (§ 25 DUK-G 1994).

### Zusätzliche Information:

Lizenzgebühren für die Nutzung von Datenverarbeitungs- und Informationssystemen sind nur dann abzugsfähig, wenn sie für die Erbringung von gewerblich betrieblichen Tätigkeiten erbracht werden (§ 1 DUK-G 1994)."
CORP-TAX-021,"Der Gewinn bei rechnungslegungspflichtigen Körperschaften wird nach dem Gewinnrechnungsverfahren (§ 1 Abs 1 BWG 1993) ermittelt.

### Zusätzliche Informationen:

Die Gewinnermittlung erfolgt aus den Erträgen und Lasten (§ 23 Abs 6 BWG 1993).
Die Erträge und Lasten werden nach dem Umsatzsteuergesetz 1991 (UmgrStG 1991) besteuert.
Die Umsatzsteuer wird nach § 15 UmgrStG 1991 berechnet.
Die Steuerertragspositionen werden nach dem Einkommensteuergesetz 1988 (KStG 1988) besteuert."
CORP-TAX-022,"1. Die GmbH muss überprüfen, ob die Erwerbung von 60 % der anderen GmbH nach § 7 Abs 1 KStG als Beteiligung erfolgt (§ 7 Abs 1 KStG).
2. Die GmbH muss sicherstellen, dass die Erwerbung nicht als Beteiligung nach § 7 Abs 1 Z1 KStG ausgeschlossen ist (§ 7 Abs 1 Z1 KStG).
3. Die GmbH muss überprüfen, ob die Erwerbung nach § 7 Abs 3 KStG als Beteiligung an einer Gruppe erfolgt (§ 7 Abs 3 KStG).
4. Die GmbH muss überprüfen, ob die Erwerbung nach § 7 Abs 5 KStG als Beteiligung an einer Gruppe erfolgt (§ 7 Abs 5 KStG).
5. Die GmbH muss überprüfen, ob die Erwerbung nach § 7 Abs 1 UmgrStG als Beteiligung an einer Gruppe erfolgt (§ 7 Abs 1 UmgrStG 1991)."
CORP-TAX-023,"Wenn eine GmbH nach einem Verlustjahr im Folgejahr wieder Gewinn erzielt, muss sie die Gewinnsteuer gemäß §24 Abs 1 KStG 1988 berechnen und anmelden.
Darüber hinaus muss die GmbH die Gewinnsteuer auf den Gewinn des Folgejahres gemäß §24 Abs 2 KStG 1988 zahlen.
Die Gewinnsteuer ist ein Umweltsteuer gemäß §1 UmwG 1996.
Die Gewinnsteuer ist eine Einkommensteuer gemäß §1 KStG 1988.
Die Gewinnsteuer ist eine Steuer gemäß §4 Abs 1 KStG 1988."
CORP-TAX-024,"Der Gewinnermittlungszeitraum beträgt ein Jahr (§ 1 DurchschnittssatzV Gewinnermittlung 2005/II/258). Abweichungen sind möglich, z.B. bei Verlusten oder bei der Gewinnermittlung von Kapitalgesellschaften (§ 8 DurchschnittssatzV Gewinnermittlung 2001/II/054)."
CORP-TAX-025,"Einlagen und Beiträge von Gesellschaftern werden als Kapitalertrag (§ 24 Abs 1 EStG 1988) oder als Kapitalerhöhung (§ 41 EStG 1988) behandelt.

Beiträge, die nicht als Kapitalertrag oder Kapitalerhöhung angesehen werden, werden als Einkommen (§ 24 Abs 2 EStG 1988) gewertet."
CORP-TAX-026,"Der Verlustabzug gemäß § 8 Abs. 4 Z 2 lit. b KStG ist nicht auf 75 % begrenzt, wenn die Verluste aus einer Aktivität stammen, die nach § 8 Abs. 3 KStG als ""Aktivität, die nicht als Gewerbebetrieb ausgeübt wird"" eingestuft werden kann.

### Zitierungen:

- § 8 Abs. 3 KStG 1988
- § 8 Abs. 4 Z 2 lit. b KStG 1988"
CORP-TAX-027,"Eine Kapitalerhöhung im Sinne des § 9 Abs 8 UmgrStG muss die Voraussetzungen des § 9 Abs 6 UmgrStG erfüllen und die Beteiligungsquote muss mindestens 10 % betragen (§ 9 Abs 8 UmgrStG).

Frage des Nutz"
CORP-TAX-028,Die finanzielle Verbindung muss mindestens 24 Monate bestehen (EWR-Abk Art34).
